complaint_id,reported_at,fraud_type,reported_amount,state,district,reporting_channel,victim_entity_id,initial_priority,data_classification
CMP-000025,2026-02-08T14:11:11+00:00,Impersonation,4686.81,Bihar,Patna,Citizen App,ENT-001296,HIGH,SYNTHETIC
CMP-000026,2026-03-04T04:08:56+00:00,Remote Access,5823.17,Madhya Pradesh,Bhopal,Citizen App,ENT-001603,LOW,SYNTHETIC
CMP-000027,2026-04-06T07:10:05+00:00,Investment,57646.47,Bihar,Gaya,1930,ENT-000011,MEDIUM,SYNTHETIC
CMP-000028,2026-05-29T16:06:42+00:00,Remote Access,7740.45,Delhi,West Delhi,Citizen App,ENT-002793,MEDIUM,SYNTHETIC
CMP-000029,2026-05-04T12:25:16+00:00,Remote Access,22627.28,Rajasthan,Udaipur,Portal,ENT-007260,LOW,SYNTHETIC
CMP-000030,2026-05-05T10:01:55+00:00,UPI,3005.99,Rajasthan,Jaipur,Bank Referral,ENT-009402,LOW,SYNTHETIC
CMP-000031,2026-03-28T09:18:15+00:00,Phishing,7485.1,Maharashtra,Mumbai,Citizen App,ENT-002064,MEDIUM,SYNTHETIC
CMP-000032,2026-06-21T23:05:09+00:00,Marketplace,17051.39,Delhi,North East Delhi,1930,ENT-005570,LOW,SYNTHETIC
CMP-000033,2026-06-10T09:07:36+00:00,Card Fraud,3039.95,Rajasthan,Udaipur,Portal,ENT-011016,MEDIUM,SYNTHETIC
CMP-000034,2026-05-21T15:35:53+00:00,Impersonation,46438.29,West Bengal,Kolkata,Bank Referral,ENT-010139,HIGH,SYNTHETIC
CMP-000035,2026-01-17T16:24:31+00:00,Loan Scam,7415.98,Madhya Pradesh,Bhopal,Police Station,ENT-007733,LOW,SYNTHETIC
CMP-000036,2026-03-30T07:52:45+00:00,Marketplace,75233.38,Rajasthan,Jodhpur,Portal,ENT-011256,HIGH,SYNTHETIC
CMP-000037,2026-01-17T08:00:32+00:00,Marketplace,6569.37,Madhya Pradesh,Indore,1930,ENT-002225,MEDIUM,SYNTHETIC
CMP-000038,2026-02-02T12:22:14+00:00,UPI,23190.44,Telangana,Nizamabad,1930,ENT-001377,HIGH,SYNTHETIC
CMP-000039,2026-02-22T10:32:23+00:00,Loan Scam,4104.4,Delhi,South East Delhi,Bank Referral,ENT-007759,LOW,SYNTHETIC
CMP-000040,2026-01-17T04:25:14+00:00,Phishing,10209.28,Telangana,Hyderabad,Citizen App,ENT-006061,HIGH,SYNTHETIC
CMP-000041,2026-04-17T23:13:49+00:00,Marketplace,5726.13,West Bengal,Howrah,Bank Referral,ENT-006718,HIGH,SYNTHETIC
CMP-000042,2026-03-12T00:19:08+00:00,UPI,18166.37,Telangana,Warangal,1930,ENT-006188,MEDIUM,SYNTHETIC
CMP-000043,2026-03-30T23:57:38+00:00,Remote Access,10374.64,Tamil Nadu,Chennai,Bank Referral,ENT-000960,LOW,SYNTHETIC
CMP-000044,2026-04-12T06:57:49+00:00,UPI,15663.04,Karnataka,Bengaluru Urban,Portal,ENT-010491,MEDIUM,SYNTHETIC
CMP-000045,2026-03-28T07:55:30+00:00,Phishing,60561.3,Bihar,Muzaffarpur,Police Station,ENT-007139,LOW,SYNTHETIC
CMP-000046,2026-01-20T02:00:32+00:00,Remote Access,20377.08,Telangana,Warangal,1930,ENT-009190,MEDIUM,SYNTHETIC
CMP-000047,2026-04-07T23:13:07+00:00,Investment,14724.87,Karnataka,Mangaluru,1930,ENT-002240,MEDIUM,SYNTHETIC
CMP-000048,2026-01-09T21:39:12+00:00,Card Fraud,1963.52,Bihar,Bhagalpur,1930,ENT-004609,MEDIUM,SYNTHETIC
CMP-000049,2026-06-26T16:39:15+00:00,Investment,6805.89,Karnataka,Bengaluru Urban,Bank Referral,ENT-002694,MEDIUM,SYNTHETIC
CMP-000050,2026-01-28T08:10:55+00:00,UPI,30681.05,Bihar,Patna,1930,ENT-004942,HIGH,SYNTHETIC
CMP-000051,2026-02-17T00:52:53+00:00,UPI,10673.02,Bihar,Gaya,Bank Referral,ENT-009761,HIGH,SYNTHETIC
CMP-000052,2026-04-05T12:48:11+00:00,Marketplace,16152.05,Uttar Pradesh,Lucknow,Portal,ENT-000205,HIGH,SYNTHETIC
CMP-000053,2026-01-31T19:04:45+00:00,UPI,14918.06,Delhi,New Delhi,Bank Referral,ENT-004569,HIGH,SYNTHETIC
CMP-000054,2026-03-31T14:37:02+00:00,Remote Access,9706.77,Telangana,Warangal,1930,ENT-006597,LOW,SYNTHETIC
CMP-000055,2026-04-13T01:00:57+00:00,Phishing,50226.91,Uttar Pradesh,Gautam Buddha Nagar,Portal,ENT-011596,LOW,SYNTHETIC
CMP-000056,2026-01-07T00:08:49+00:00,UPI,2550.06,Rajasthan,Jaipur,Police Station,ENT-001624,MEDIUM,SYNTHETIC
CMP-000057,2026-01-31T09:08:42+00:00,Impersonation,4813.93,Rajasthan,Kota,Police Station,ENT-007583,HIGH,SYNTHETIC
CMP-000058,2026-06-18T23:26:04+00:00,Card Fraud,18540.08,West Bengal,Howrah,Police Station,ENT-001921,LOW,SYNTHETIC
CMP-000059,2026-04-19T21:07:25+00:00,Marketplace,74215.03,Madhya Pradesh,Indore,Bank Referral,ENT-011663,MEDIUM,SYNTHETIC
CMP-000060,2026-03-28T08:47:01+00:00,Marketplace,6197.5,Maharashtra,Nagpur,Citizen App,ENT-005603,LOW,SYNTHETIC
CMP-000061,2026-02-04T16:05:33+00:00,Phishing,65190.43,Tamil Nadu,Madurai,Citizen App,ENT-000510,MEDIUM,SYNTHETIC
CMP-000062,2026-06-20T10:37:55+00:00,Investment,13045.94,Bihar,Muzaffarpur,Citizen App,ENT-005240,HIGH,SYNTHETIC
CMP-000063,2026-04-15T11:02:17+00:00,Marketplace,35479.6,Karnataka,Mangaluru,Police Station,ENT-000376,LOW,SYNTHETIC
CMP-000064,2026-04-29T16:53:32+00:00,Investment,16940.66,Karnataka,Bengaluru Urban,Portal,ENT-001890,LOW,SYNTHETIC
CMP-000065,2026-04-27T07:54:02+00:00,Loan Scam,34693.0,Bihar,Muzaffarpur,Citizen App,ENT-000949,MEDIUM,SYNTHETIC
CMP-000066,2026-06-07T01:26:03+00:00,Investment,2594.78,Delhi,New Delhi,Bank Referral,ENT-004678,MEDIUM,SYNTHETIC
CMP-000067,2026-01-19T12:50:49+00:00,Impersonation,13499.5,Madhya Pradesh,Jabalpur,Bank Referral,ENT-007766,HIGH,SYNTHETIC
CMP-000068,2026-01-07T01:13:53+00:00,Loan Scam,6011.51,Bihar,Gaya,Citizen App,ENT-007683,LOW,SYNTHETIC
CMP-000069,2026-06-03T12:25:47+00:00,UPI,52546.64,Bihar,Patna,Portal,ENT-003504,MEDIUM,SYNTHETIC
CMP-000070,2026-04-08T20:28:23+00:00,Remote Access,5628.11,Maharashtra,Mumbai,Citizen App,ENT-006174,LOW,SYNTHETIC
CMP-000071,2026-04-28T07:30:11+00:00,Remote Access,12665.11,Tamil Nadu,Coimbatore,1930,ENT-005790,HIGH,SYNTHETIC
CMP-000072,2026-06-23T04:30:51+00:00,Investment,6664.49,Bihar,Patna,Portal,ENT-008486,HIGH,SYNTHETIC
CMP-000073,2026-05-11T09:00:08+00:00,Impersonation,8096.02,Karnataka,Mangaluru,Bank Referral,ENT-002044,LOW,SYNTHETIC
CMP-000074,2026-03-15T18:09:20+00:00,Remote Access,7924.88,Madhya Pradesh,Jabalpur,Police Station,ENT-006179,MEDIUM,SYNTHETIC
CMP-000075,2026-04-21T03:28:44+00:00,Marketplace,13534.8,Telangana,Warangal,Bank Referral,ENT-006002,MEDIUM,SYNTHETIC
CMP-000076,2026-02-06T16:14:03+00:00,Card Fraud,20941.78,Delhi,South East Delhi,1930,ENT-010891,LOW,SYNTHETIC
CMP-000077,2026-01-14T20:23:56+00:00,UPI,12250.56,Rajasthan,Jaipur,Citizen App,ENT-003267,LOW,SYNTHETIC
CMP-000078,2026-02-02T17:27:58+00:00,Investment,16158.26,Rajasthan,Udaipur,1930,ENT-005296,HIGH,SYNTHETIC
CMP-000079,2026-05-17T03:14:53+00:00,Investment,20741.59,Tamil Nadu,Coimbatore,1930,ENT-004986,HIGH,SYNTHETIC
CMP-000080,2026-04-25T21:30:52+00:00,Marketplace,7276.13,Telangana,Nizamabad,Citizen App,ENT-010272,HIGH,SYNTHETIC
CMP-000081,2026-01-03T11:20:12+00:00,Phishing,46470.15,Karnataka,Mysuru,Police Station,ENT-006202,MEDIUM,SYNTHETIC
CMP-000082,2026-01-18T16:32:30+00:00,Investment,21391.33,Madhya Pradesh,Bhopal,1930,ENT-003111,LOW,SYNTHETIC
CMP-000083,2026-03-23T13:08:33+00:00,UPI,16408.88,Telangana,Hyderabad,Bank Referral,ENT-007297,LOW,SYNTHETIC
CMP-000084,2026-04-26T06:46:34+00:00,UPI,13801.4,Bihar,Patna,Portal,ENT-004201,HIGH,SYNTHETIC
CMP-000085,2026-01-25T19:26:28+00:00,Card Fraud,8708.51,Delhi,North East Delhi,Bank Referral,ENT-010260,LOW,SYNTHETIC
CMP-000086,2026-05-07T17:10:08+00:00,Remote Access,24827.92,Rajasthan,Udaipur,Police Station,ENT-007625,MEDIUM,SYNTHETIC
CMP-000087,2026-05-08T18:31:35+00:00,Remote Access,2393.34,West Bengal,North 24 Parganas,Portal,ENT-011053,MEDIUM,SYNTHETIC
CMP-000088,2026-02-20T22:02:54+00:00,Card Fraud,21402.38,Madhya Pradesh,Indore,Portal,ENT-004018,HIGH,SYNTHETIC
CMP-000089,2026-06-28T14:47:22+00:00,Investment,27305.5,Karnataka,Mangaluru,Portal,ENT-001100,MEDIUM,SYNTHETIC
CMP-000090,2026-02-05T18:50:25+00:00,Investment,58164.56,West Bengal,Kolkata,Portal,ENT-004089,MEDIUM,SYNTHETIC
CMP-000091,2026-06-09T15:52:13+00:00,Impersonation,13262.82,West Bengal,Kolkata,Bank Referral,ENT-000445,LOW,SYNTHETIC
CMP-000092,2026-06-16T13:02:22+00:00,UPI,5501.13,Rajasthan,Kota,Portal,ENT-003390,MEDIUM,SYNTHETIC
CMP-000093,2026-02-06T06:50:46+00:00,Impersonation,7290.22,Delhi,North East Delhi,Bank Referral,ENT-010019,MEDIUM,SYNTHETIC
CMP-000094,2026-01-28T19:24:18+00:00,Impersonation,10271.56,Telangana,Hyderabad,Bank Referral,ENT-006802,MEDIUM,SYNTHETIC
CMP-000095,2026-04-07T02:29:18+00:00,UPI,41093.1,Madhya Pradesh,Jabalpur,Police Station,ENT-010662,LOW,SYNTHETIC
CMP-000096,2026-04-13T13:59:46+00:00,Impersonation,8846.52,Maharashtra,Pune,1930,ENT-003759,HIGH,SYNTHETIC
CMP-000097,2026-06-05T18:38:43+00:00,Remote Access,18727.17,West Bengal,North 24 Parganas,Citizen App,ENT-001410,LOW,SYNTHETIC
CMP-000098,2026-04-27T00:50:50+00:00,Phishing,15354.93,Madhya Pradesh,Jabalpur,Police Station,ENT-001478,HIGH,SYNTHETIC
CMP-000099,2026-03-09T17:47:19+00:00,UPI,152634.66,Uttar Pradesh,Gautam Buddha Nagar,Bank Referral,ENT-006033,MEDIUM,SYNTHETIC
CMP-000100,2026-01-17T02:00:22+00:00,Remote Access,8502.54,Bihar,Muzaffarpur,Citizen App,ENT-005844,HIGH,SYNTHETIC
CMP-000101,2026-01-01T03:52:51+00:00,UPI,30900.69,Delhi,West Delhi,Portal,ENT-009049,MEDIUM,SYNTHETIC
CMP-000102,2026-02-10T13:03:41+00:00,Investment,9805.43,Bihar,Bhagalpur,1930,ENT-006862,HIGH,SYNTHETIC
CMP-000103,2026-06-02T15:02:50+00:00,Investment,4946.05,West Bengal,Howrah,Bank Referral,ENT-011866,LOW,SYNTHETIC
CMP-000104,2026-03-24T17:38:45+00:00,Card Fraud,13887.87,Madhya Pradesh,Indore,Police Station,ENT-010769,LOW,SYNTHETIC
CMP-000105,2026-05-19T09:46:13+00:00,Marketplace,1582.78,Rajasthan,Jaipur,1930,ENT-003547,LOW,SYNTHETIC
CMP-000106,2026-05-10T15:29:53+00:00,Impersonation,3659.99,Karnataka,Mangaluru,Portal,ENT-001357,MEDIUM,SYNTHETIC
CMP-000107,2026-06-13T13:20:27+00:00,UPI,27927.08,Bihar,Patna,Bank Referral,ENT-006802,MEDIUM,SYNTHETIC
CMP-000108,2026-06-29T08:45:09+00:00,UPI,2944.05,Rajasthan,Jodhpur,1930,ENT-002424,MEDIUM,SYNTHETIC
CMP-000109,2026-04-09T03:24:05+00:00,Phishing,9147.55,West Bengal,North 24 Parganas,Bank Referral,ENT-009416,MEDIUM,SYNTHETIC
CMP-000110,2026-06-01T21:51:16+00:00,Impersonation,3174.61,Karnataka,Bengaluru Urban,1930,ENT-000046,HIGH,SYNTHETIC
CMP-000111,2026-06-22T07:43:32+00:00,Marketplace,13739.58,Telangana,Hyderabad,Police Station,ENT-001436,LOW,SYNTHETIC
CMP-000112,2026-05-04T07:34:28+00:00,Impersonation,9009.93,West Bengal,Howrah,Citizen App,ENT-004011,LOW,SYNTHETIC
CMP-000113,2026-01-15T04:48:18+00:00,Impersonation,8520.7,Madhya Pradesh,Bhopal,Police Station,ENT-002762,HIGH,SYNTHETIC
CMP-000114,2026-02-25T18:24:40+00:00,Marketplace,8626.7,Maharashtra,Nagpur,Portal,ENT-004843,LOW,SYNTHETIC
CMP-000115,2026-03-29T00:32:37+00:00,Phishing,5854.51,Bihar,Gaya,Citizen App,ENT-001169,LOW,SYNTHETIC
CMP-000116,2026-04-26T21:23:13+00:00,Loan Scam,69732.57,Rajasthan,Kota,Citizen App,ENT-003601,HIGH,SYNTHETIC
CMP-000117,2026-03-13T21:42:35+00:00,Loan Scam,4691.59,West Bengal,North 24 Parganas,Bank Referral,ENT-008386,HIGH,SYNTHETIC
CMP-000118,2026-04-22T15:13:21+00:00,Card Fraud,12956.63,Telangana,Warangal,Bank Referral,ENT-006700,HIGH,SYNTHETIC
CMP-000119,2026-03-03T05:02:52+00:00,Loan Scam,43211.03,West Bengal,Kolkata,Citizen App,ENT-008765,HIGH,SYNTHETIC
CMP-000120,2026-04-05T10:02:31+00:00,Remote Access,20484.78,Karnataka,Mangaluru,Bank Referral,ENT-006591,MEDIUM,SYNTHETIC
CMP-000121,2026-01-30T13:56:42+00:00,Investment,5262.43,Tamil Nadu,Chennai,Portal,ENT-000234,MEDIUM,SYNTHETIC
CMP-000122,2026-01-08T00:39:28+00:00,Phishing,9453.08,West Bengal,North 24 Parganas,Portal,ENT-000049,MEDIUM,SYNTHETIC
CMP-000123,2026-03-16T10:54:57+00:00,UPI,4865.63,Maharashtra,Nagpur,Citizen App,ENT-008866,HIGH,SYNTHETIC
CMP-000124,2026-02-25T12:15:32+00:00,Impersonation,29617.05,Maharashtra,Thane,Citizen App,ENT-010095,LOW,SYNTHETIC
CMP-000125,2026-05-14T07:42:07+00:00,Marketplace,3037.0,Maharashtra,Nashik,Portal,ENT-005139,MEDIUM,SYNTHETIC
CMP-000126,2026-05-30T09:57:44+00:00,Phishing,10662.48,West Bengal,Howrah,Citizen App,ENT-006294,LOW,SYNTHETIC
CMP-000127,2026-04-17T19:11:07+00:00,Card Fraud,1558.11,Maharashtra,Mumbai,1930,ENT-000818,LOW,SYNTHETIC
CMP-000128,2026-01-30T04:19:35+00:00,Loan Scam,17655.95,Maharashtra,Thane,Portal,ENT-000017,HIGH,SYNTHETIC
CMP-000129,2026-02-28T12:08:02+00:00,Impersonation,117265.05,West Bengal,Howrah,Police Station,ENT-002533,MEDIUM,SYNTHETIC
CMP-000130,2026-02-15T19:26:13+00:00,Investment,4159.81,Madhya Pradesh,Jabalpur,Portal,ENT-005215,LOW,SYNTHETIC
CMP-000131,2026-06-20T19:30:23+00:00,Remote Access,8902.08,Tamil Nadu,Chennai,Citizen App,ENT-011489,LOW,SYNTHETIC
CMP-000132,2026-06-13T06:04:18+00:00,Marketplace,6073.38,Delhi,North East Delhi,Citizen App,ENT-005153,HIGH,SYNTHETIC
CMP-000133,2026-01-04T18:21:00+00:00,Phishing,29816.03,West Bengal,North 24 Parganas,1930,ENT-007715,HIGH,SYNTHETIC
CMP-000134,2026-05-19T20:18:38+00:00,Marketplace,3414.92,Madhya Pradesh,Indore,Portal,ENT-005131,HIGH,SYNTHETIC
CMP-000135,2026-05-06T02:04:36+00:00,Loan Scam,8262.68,Bihar,Gaya,Citizen App,ENT-009905,MEDIUM,SYNTHETIC
CMP-000136,2026-05-02T09:39:04+00:00,Remote Access,5132.69,Rajasthan,Jaipur,Citizen App,ENT-007398,MEDIUM,SYNTHETIC
CMP-000137,2026-06-15T20:09:38+00:00,Remote Access,21388.48,Maharashtra,Thane,Portal,ENT-007215,MEDIUM,SYNTHETIC
CMP-000138,2026-01-07T22:56:17+00:00,UPI,7205.46,Delhi,South East Delhi,Bank Referral,ENT-006136,LOW,SYNTHETIC
CMP-000139,2026-06-12T22:13:44+00:00,UPI,41709.25,Tamil Nadu,Coimbatore,Portal,ENT-004713,MEDIUM,SYNTHETIC
CMP-000140,2026-06-21T05:33:52+00:00,Phishing,72265.75,Bihar,Gaya,Bank Referral,ENT-004978,MEDIUM,SYNTHETIC
CMP-000141,2026-01-21T05:20:30+00:00,Remote Access,22425.35,West Bengal,Kolkata,1930,ENT-010920,LOW,SYNTHETIC
CMP-000142,2026-04-06T17:00:03+00:00,Remote Access,3632.98,Rajasthan,Udaipur,Police Station,ENT-005871,LOW,SYNTHETIC
CMP-000143,2026-01-07T15:10:50+00:00,Marketplace,6430.06,Maharashtra,Mumbai,Bank Referral,ENT-002803,HIGH,SYNTHETIC
CMP-000144,2026-06-29T21:37:23+00:00,Remote Access,9915.58,Karnataka,Bengaluru Urban,1930,ENT-005552,LOW,SYNTHETIC
CMP-000145,2026-03-15T16:35:11+00:00,Marketplace,18852.95,Tamil Nadu,Madurai,Portal,ENT-003280,LOW,SYNTHETIC
CMP-000146,2026-03-29T04:12:10+00:00,Phishing,75135.52,Madhya Pradesh,Indore,Bank Referral,ENT-001174,MEDIUM,SYNTHETIC
CMP-000147,2026-06-28T03:14:54+00:00,Card Fraud,5543.03,Rajasthan,Kota,1930,ENT-009174,LOW,SYNTHETIC
CMP-000148,2026-02-24T02:18:51+00:00,Marketplace,19400.89,Uttar Pradesh,Lucknow,Bank Referral,ENT-000528,LOW,SYNTHETIC
CMP-000149,2026-06-11T17:06:40+00:00,Remote Access,18025.57,Telangana,Hyderabad,Citizen App,ENT-011649,LOW,SYNTHETIC
CMP-000150,2026-06-16T01:06:22+00:00,Loan Scam,8815.29,West Bengal,Kolkata,1930,ENT-002228,HIGH,SYNTHETIC
CMP-000151,2026-04-15T19:27:40+00:00,Marketplace,25029.7,Karnataka,Mysuru,Citizen App,ENT-008889,MEDIUM,SYNTHETIC
CMP-000152,2026-05-16T21:59:23+00:00,Marketplace,34241.62,Madhya Pradesh,Indore,Citizen App,ENT-006613,MEDIUM,SYNTHETIC
CMP-000153,2026-01-16T17:14:54+00:00,Impersonation,31767.85,Karnataka,Mangaluru,Bank Referral,ENT-010513,HIGH,SYNTHETIC
CMP-000154,2026-02-15T08:34:56+00:00,Marketplace,3603.11,Madhya Pradesh,Jabalpur,1930,ENT-011622,MEDIUM,SYNTHETIC
CMP-000155,2026-06-18T01:27:21+00:00,Investment,27027.5,Delhi,New Delhi,Police Station,ENT-007517,LOW,SYNTHETIC
CMP-000156,2026-04-29T23:54:58+00:00,Remote Access,6771.3,Telangana,Nizamabad,Portal,ENT-010174,MEDIUM,SYNTHETIC
CMP-000157,2026-01-26T09:22:37+00:00,Marketplace,19848.69,Madhya Pradesh,Bhopal,Bank Referral,ENT-007657,LOW,SYNTHETIC
CMP-000158,2026-05-21T08:35:39+00:00,UPI,4168.31,Maharashtra,Nagpur,Portal,ENT-004521,MEDIUM,SYNTHETIC
CMP-000159,2026-05-03T04:04:47+00:00,Investment,3798.66,Delhi,South East Delhi,Citizen App,ENT-009745,MEDIUM,SYNTHETIC
CMP-000160,2026-05-20T17:17:45+00:00,Phishing,4356.91,Uttar Pradesh,Lucknow,1930,ENT-008349,HIGH,SYNTHETIC
CMP-000161,2026-03-01T21:21:33+00:00,Impersonation,1211.58,Delhi,New Delhi,Bank Referral,ENT-001370,MEDIUM,SYNTHETIC
CMP-000162,2026-05-28T13:14:28+00:00,Loan Scam,3529.26,Rajasthan,Jodhpur,Bank Referral,ENT-000411,LOW,SYNTHETIC
CMP-000163,2026-06-23T08:52:30+00:00,Loan Scam,19793.47,Tamil Nadu,Madurai,Police Station,ENT-000075,HIGH,SYNTHETIC
CMP-000164,2026-03-23T17:45:37+00:00,Marketplace,16074.63,Telangana,Hyderabad,Citizen App,ENT-009828,HIGH,SYNTHETIC
CMP-000165,2026-03-14T06:08:06+00:00,Loan Scam,21742.35,Telangana,Warangal,Portal,ENT-009184,MEDIUM,SYNTHETIC
CMP-000166,2026-05-14T14:40:25+00:00,Investment,22664.23,Bihar,Muzaffarpur,Bank Referral,ENT-008896,MEDIUM,SYNTHETIC
CMP-000167,2026-05-02T10:24:13+00:00,Remote Access,5132.42,West Bengal,North 24 Parganas,Bank Referral,ENT-001445,HIGH,SYNTHETIC
CMP-000168,2026-03-09T15:20:36+00:00,Remote Access,6171.03,Rajasthan,Jodhpur,1930,ENT-001817,HIGH,SYNTHETIC
CMP-000169,2026-05-29T14:33:27+00:00,Marketplace,29182.51,Bihar,Muzaffarpur,Citizen App,ENT-005697,HIGH,SYNTHETIC
CMP-000170,2026-06-15T21:21:08+00:00,Loan Scam,4276.86,Delhi,North East Delhi,1930,ENT-008390,MEDIUM,SYNTHETIC
CMP-000171,2026-01-08T13:17:58+00:00,Impersonation,55771.41,West Bengal,North 24 Parganas,Bank Referral,ENT-007729,LOW,SYNTHETIC
CMP-000172,2026-05-20T12:53:52+00:00,Card Fraud,16434.67,Telangana,Nizamabad,Portal,ENT-000821,HIGH,SYNTHETIC
CMP-000173,2026-05-15T10:37:07+00:00,UPI,12496.76,Delhi,New Delhi,Citizen App,ENT-005791,LOW,SYNTHETIC
CMP-000174,2026-05-24T04:10:39+00:00,Marketplace,23222.16,Karnataka,Mysuru,Bank Referral,ENT-007540,MEDIUM,SYNTHETIC
CMP-000175,2026-01-19T02:08:54+00:00,UPI,167353.5,Telangana,Warangal,Portal,ENT-005786,LOW,SYNTHETIC
CMP-000176,2026-02-22T21:04:10+00:00,Marketplace,97920.97,Uttar Pradesh,Kanpur Nagar,Portal,ENT-006670,MEDIUM,SYNTHETIC
CMP-000177,2026-01-06T01:17:46+00:00,Impersonation,35230.22,Uttar Pradesh,Lucknow,Police Station,ENT-000224,HIGH,SYNTHETIC
CMP-000178,2026-03-21T06:16:23+00:00,UPI,13956.37,Maharashtra,Pune,Citizen App,ENT-009414,HIGH,SYNTHETIC
CMP-000179,2026-05-11T15:06:39+00:00,Impersonation,4982.7,Karnataka,Mysuru,Police Station,ENT-004714,MEDIUM,SYNTHETIC
CMP-000180,2026-04-03T12:27:39+00:00,Investment,29194.77,Delhi,South East Delhi,Citizen App,ENT-006525,HIGH,SYNTHETIC
CMP-000181,2026-01-22T20:50:48+00:00,Impersonation,7864.67,Rajasthan,Udaipur,1930,ENT-003836,HIGH,SYNTHETIC
CMP-000182,2026-06-11T08:00:57+00:00,Impersonation,9166.34,Telangana,Hyderabad,Police Station,ENT-011216,MEDIUM,SYNTHETIC
CMP-000183,2026-02-16T15:04:08+00:00,UPI,37119.91,Karnataka,Mangaluru,1930,ENT-001591,LOW,SYNTHETIC
CMP-000184,2026-03-30T19:28:17+00:00,Loan Scam,25757.65,Telangana,Warangal,Police Station,ENT-004626,LOW,SYNTHETIC
CMP-000185,2026-03-05T13:07:20+00:00,Investment,44996.61,Rajasthan,Jodhpur,Bank Referral,ENT-007373,LOW,SYNTHETIC
CMP-000186,2026-04-15T06:07:40+00:00,Loan Scam,6813.29,Tamil Nadu,Coimbatore,1930,ENT-009469,HIGH,SYNTHETIC
CMP-000187,2026-04-01T01:17:52+00:00,Remote Access,5943.76,Uttar Pradesh,Kanpur Nagar,Citizen App,ENT-009829,MEDIUM,SYNTHETIC
