alert_id,complaint_id,created_at,status,severity,policy_version
ALT-000026,CMP-000026,2026-03-04T04:08:56+00:00,EXPIRED,MEDIUM,POLICY-v1
ALT-000027,CMP-000027,2026-04-06T07:10:05+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000028,CMP-000028,2026-05-29T16:06:42+00:00,PENDING,HIGH,POLICY-v1
ALT-000029,CMP-000029,2026-05-04T12:25:16+00:00,ACTIONED,LOW,POLICY-v1
ALT-000030,CMP-000030,2026-05-05T10:01:55+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000031,CMP-000031,2026-03-28T09:18:15+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000032,CMP-000032,2026-06-21T23:05:09+00:00,ACTIONED,LOW,POLICY-v1
ALT-000033,CMP-000033,2026-06-10T09:07:36+00:00,ACTIONED,LOW,POLICY-v1
ALT-000034,CMP-000034,2026-05-21T15:35:53+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000035,CMP-000035,2026-01-17T16:24:31+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000036,CMP-000036,2026-03-30T07:52:45+00:00,ACTIONED,LOW,POLICY-v1
ALT-000037,CMP-000037,2026-01-17T08:00:32+00:00,ACTIONED,LOW,POLICY-v1
ALT-000038,CMP-000038,2026-02-02T12:22:14+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000039,CMP-000039,2026-02-22T10:32:23+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000040,CMP-000040,2026-01-17T04:25:14+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000041,CMP-000041,2026-04-17T23:13:49+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000042,CMP-000042,2026-03-12T00:19:08+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000043,CMP-000043,2026-03-30T23:57:38+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000044,CMP-000044,2026-04-12T06:57:49+00:00,ACTIONED,LOW,POLICY-v1
ALT-000045,CMP-000045,2026-03-28T07:55:30+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000046,CMP-000046,2026-01-20T02:00:32+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000047,CMP-000047,2026-04-07T23:13:07+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000048,CMP-000048,2026-01-09T21:39:12+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000049,CMP-000049,2026-06-26T16:39:15+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000050,CMP-000050,2026-01-28T08:10:55+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000051,CMP-000051,2026-02-17T00:52:53+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000052,CMP-000052,2026-04-05T12:48:11+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000053,CMP-000053,2026-01-31T19:04:45+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000054,CMP-000054,2026-03-31T14:37:02+00:00,ACTIONED,LOW,POLICY-v1
ALT-000055,CMP-000055,2026-04-13T01:00:57+00:00,ACTIONED,LOW,POLICY-v1
ALT-000056,CMP-000056,2026-01-07T00:08:49+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000057,CMP-000057,2026-01-31T09:08:42+00:00,PENDING,LOW,POLICY-v1
ALT-000058,CMP-000058,2026-06-18T23:26:04+00:00,ACTIONED,LOW,POLICY-v1
ALT-000059,CMP-000059,2026-04-19T21:07:25+00:00,PENDING,HIGH,POLICY-v1
ALT-000060,CMP-000060,2026-03-28T08:47:01+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000061,CMP-000061,2026-02-04T16:05:33+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000062,CMP-000062,2026-06-20T10:37:55+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000063,CMP-000063,2026-04-15T11:02:17+00:00,ACTIONED,LOW,POLICY-v1
ALT-000064,CMP-000064,2026-04-29T16:53:32+00:00,PENDING,MEDIUM,POLICY-v1
ALT-000065,CMP-000065,2026-04-27T07:54:02+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000066,CMP-000066,2026-06-07T01:26:03+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000067,CMP-000067,2026-01-19T12:50:49+00:00,PENDING,MEDIUM,POLICY-v1
ALT-000068,CMP-000068,2026-01-07T01:13:53+00:00,ACTIONED,LOW,POLICY-v1
ALT-000069,CMP-000069,2026-06-03T12:25:47+00:00,EXPIRED,LOW,POLICY-v1
ALT-000070,CMP-000070,2026-04-08T20:28:23+00:00,PENDING,HIGH,POLICY-v1
ALT-000071,CMP-000071,2026-04-28T07:30:11+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000072,CMP-000072,2026-06-23T04:30:51+00:00,PENDING,LOW,POLICY-v1
ALT-000073,CMP-000073,2026-05-11T09:00:08+00:00,ACTIONED,LOW,POLICY-v1
ALT-000074,CMP-000074,2026-03-15T18:09:20+00:00,EXPIRED,LOW,POLICY-v1
ALT-000075,CMP-000075,2026-04-21T03:28:44+00:00,ACTIONED,LOW,POLICY-v1
ALT-000076,CMP-000076,2026-02-06T16:14:03+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000077,CMP-000077,2026-01-14T20:23:56+00:00,EXPIRED,MEDIUM,POLICY-v1
ALT-000078,CMP-000078,2026-02-02T17:27:58+00:00,EXPIRED,MEDIUM,POLICY-v1
ALT-000079,CMP-000079,2026-05-17T03:14:53+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000080,CMP-000080,2026-04-25T21:30:52+00:00,PENDING,LOW,POLICY-v1
ALT-000081,CMP-000081,2026-01-03T11:20:12+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000082,CMP-000082,2026-01-18T16:32:30+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000083,CMP-000083,2026-03-23T13:08:33+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000084,CMP-000084,2026-04-26T06:46:34+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000085,CMP-000085,2026-01-25T19:26:28+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000086,CMP-000086,2026-05-07T17:10:08+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000087,CMP-000087,2026-05-08T18:31:35+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000088,CMP-000088,2026-02-20T22:02:54+00:00,ACTIONED,LOW,POLICY-v1
ALT-000089,CMP-000089,2026-06-28T14:47:22+00:00,ACTIONED,LOW,POLICY-v1
ALT-000090,CMP-000090,2026-02-05T18:50:25+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000091,CMP-000091,2026-06-09T15:52:13+00:00,ACTIONED,LOW,POLICY-v1
ALT-000092,CMP-000092,2026-06-16T13:02:22+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000093,CMP-000093,2026-02-06T06:50:46+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000094,CMP-000094,2026-01-28T19:24:18+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000095,CMP-000095,2026-04-07T02:29:18+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000096,CMP-000096,2026-04-13T13:59:46+00:00,PENDING,HIGH,POLICY-v1
ALT-000097,CMP-000097,2026-06-05T18:38:43+00:00,ACTIONED,LOW,POLICY-v1
ALT-000098,CMP-000098,2026-04-27T00:50:50+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000099,CMP-000099,2026-03-09T17:47:19+00:00,PENDING,HIGH,POLICY-v1
ALT-000100,CMP-000100,2026-01-17T02:00:22+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000101,CMP-000101,2026-01-01T03:52:51+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000102,CMP-000102,2026-02-10T13:03:41+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000103,CMP-000103,2026-06-02T15:02:50+00:00,ACTIONED,LOW,POLICY-v1
ALT-000104,CMP-000104,2026-03-24T17:38:45+00:00,PENDING,HIGH,POLICY-v1
ALT-000105,CMP-000105,2026-05-19T09:46:13+00:00,EXPIRED,LOW,POLICY-v1
ALT-000106,CMP-000106,2026-05-10T15:29:53+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000107,CMP-000107,2026-06-13T13:20:27+00:00,PENDING,LOW,POLICY-v1
ALT-000108,CMP-000108,2026-06-29T08:45:09+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000109,CMP-000109,2026-04-09T03:24:05+00:00,ACTIONED,LOW,POLICY-v1
ALT-000110,CMP-000110,2026-06-01T21:51:16+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000111,CMP-000111,2026-06-22T07:43:32+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000112,CMP-000112,2026-05-04T07:34:28+00:00,ACTIONED,LOW,POLICY-v1
ALT-000113,CMP-000113,2026-01-15T04:48:18+00:00,ACTIONED,LOW,POLICY-v1
ALT-000114,CMP-000114,2026-02-25T18:24:40+00:00,PENDING,LOW,POLICY-v1
ALT-000115,CMP-000115,2026-03-29T00:32:37+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000116,CMP-000116,2026-04-26T21:23:13+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000117,CMP-000117,2026-03-13T21:42:35+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000118,CMP-000118,2026-04-22T15:13:21+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000119,CMP-000119,2026-03-03T05:02:52+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000120,CMP-000120,2026-04-05T10:02:31+00:00,PENDING,MEDIUM,POLICY-v1
ALT-000121,CMP-000121,2026-01-30T13:56:42+00:00,PENDING,LOW,POLICY-v1
ALT-000122,CMP-000122,2026-01-08T00:39:28+00:00,ACTIONED,LOW,POLICY-v1
ALT-000123,CMP-000123,2026-03-16T10:54:57+00:00,ACTIONED,LOW,POLICY-v1
ALT-000124,CMP-000124,2026-02-25T12:15:32+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000125,CMP-000125,2026-05-14T07:42:07+00:00,PENDING,LOW,POLICY-v1
ALT-000126,CMP-000126,2026-05-30T09:57:44+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000127,CMP-000127,2026-04-17T19:11:07+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000128,CMP-000128,2026-01-30T04:19:35+00:00,EXPIRED,MEDIUM,POLICY-v1
ALT-000129,CMP-000129,2026-02-28T12:08:02+00:00,EXPIRED,MEDIUM,POLICY-v1
ALT-000130,CMP-000130,2026-02-15T19:26:13+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000131,CMP-000131,2026-06-20T19:30:23+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000132,CMP-000132,2026-06-13T06:04:18+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000133,CMP-000133,2026-01-04T18:21:00+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000134,CMP-000134,2026-05-19T20:18:38+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000135,CMP-000135,2026-05-06T02:04:36+00:00,EXPIRED,LOW,POLICY-v1
ALT-000136,CMP-000136,2026-05-02T09:39:04+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000137,CMP-000137,2026-06-15T20:09:38+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000138,CMP-000138,2026-01-07T22:56:17+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000139,CMP-000139,2026-06-12T22:13:44+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000140,CMP-000140,2026-06-21T05:33:52+00:00,EXPIRED,LOW,POLICY-v1
ALT-000141,CMP-000141,2026-01-21T05:20:30+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000142,CMP-000142,2026-04-06T17:00:03+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000143,CMP-000143,2026-01-07T15:10:50+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000144,CMP-000144,2026-06-29T21:37:23+00:00,ACTIONED,LOW,POLICY-v1
ALT-000145,CMP-000145,2026-03-15T16:35:11+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000146,CMP-000146,2026-03-29T04:12:10+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000147,CMP-000147,2026-06-28T03:14:54+00:00,EXPIRED,MEDIUM,POLICY-v1
ALT-000148,CMP-000148,2026-02-24T02:18:51+00:00,PENDING,MEDIUM,POLICY-v1
ALT-000149,CMP-000149,2026-06-11T17:06:40+00:00,EXPIRED,MEDIUM,POLICY-v1
ALT-000150,CMP-000150,2026-06-16T01:06:22+00:00,PENDING,LOW,POLICY-v1
ALT-000151,CMP-000151,2026-04-15T19:27:40+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000152,CMP-000152,2026-05-16T21:59:23+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000153,CMP-000153,2026-01-16T17:14:54+00:00,ACTIONED,LOW,POLICY-v1
ALT-000154,CMP-000154,2026-02-15T08:34:56+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000155,CMP-000155,2026-06-18T01:27:21+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000156,CMP-000156,2026-04-29T23:54:58+00:00,EXPIRED,LOW,POLICY-v1
ALT-000157,CMP-000157,2026-01-26T09:22:37+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000158,CMP-000158,2026-05-21T08:35:39+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000159,CMP-000159,2026-05-03T04:04:47+00:00,PENDING,HIGH,POLICY-v1
ALT-000160,CMP-000160,2026-05-20T17:17:45+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000161,CMP-000161,2026-03-01T21:21:33+00:00,EXPIRED,LOW,POLICY-v1
ALT-000162,CMP-000162,2026-05-28T13:14:28+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000163,CMP-000163,2026-06-23T08:52:30+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000164,CMP-000164,2026-03-23T17:45:37+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000165,CMP-000165,2026-03-14T06:08:06+00:00,ACTIONED,LOW,POLICY-v1
ALT-000166,CMP-000166,2026-05-14T14:40:25+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000167,CMP-000167,2026-05-02T10:24:13+00:00,ACTIONED,LOW,POLICY-v1
ALT-000168,CMP-000168,2026-03-09T15:20:36+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000169,CMP-000169,2026-05-29T14:33:27+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000170,CMP-000170,2026-06-15T21:21:08+00:00,PENDING,HIGH,POLICY-v1
ALT-000171,CMP-000171,2026-01-08T13:17:58+00:00,PENDING,HIGH,POLICY-v1
ALT-000172,CMP-000172,2026-05-20T12:53:52+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000173,CMP-000173,2026-05-15T10:37:07+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000174,CMP-000174,2026-05-24T04:10:39+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000175,CMP-000175,2026-01-19T02:08:54+00:00,ACTIONED,LOW,POLICY-v1
ALT-000176,CMP-000176,2026-02-22T21:04:10+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000177,CMP-000177,2026-01-06T01:17:46+00:00,ACTIONED,LOW,POLICY-v1
ALT-000178,CMP-000178,2026-03-21T06:16:23+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000179,CMP-000179,2026-05-11T15:06:39+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000180,CMP-000180,2026-04-03T12:27:39+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000181,CMP-000181,2026-01-22T20:50:48+00:00,PENDING,MEDIUM,POLICY-v1
ALT-000182,CMP-000182,2026-06-11T08:00:57+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000183,CMP-000183,2026-02-16T15:04:08+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000184,CMP-000184,2026-03-30T19:28:17+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000185,CMP-000185,2026-03-05T13:07:20+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000186,CMP-000186,2026-04-15T06:07:40+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000187,CMP-000187,2026-04-01T01:17:52+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000188,CMP-000188,2026-03-05T17:09:29+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000189,CMP-000189,2026-01-14T20:59:06+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000190,CMP-000190,2026-06-07T17:39:19+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000191,CMP-000191,2026-03-28T20:39:07+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000192,CMP-000192,2026-03-18T15:28:35+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000193,CMP-000193,2026-02-09T18:32:08+00:00,ACTIONED,LOW,POLICY-v1
ALT-000194,CMP-000194,2026-05-20T09:20:42+00:00,PENDING,HIGH,POLICY-v1
ALT-000195,CMP-000195,2026-02-09T14:10:28+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000196,CMP-000196,2026-02-10T00:04:46+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000197,CMP-000197,2026-05-01T04:31:37+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000198,CMP-000198,2026-04-14T15:09:47+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000199,CMP-000199,2026-01-09T08:42:10+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000200,CMP-000200,2026-06-08T11:19:51+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000201,CMP-000201,2026-03-08T21:18:00+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000202,CMP-000202,2026-02-13T03:28:20+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000203,CMP-000203,2026-06-29T19:07:28+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000204,CMP-000204,2026-04-04T23:35:44+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000205,CMP-000205,2026-02-03T10:30:32+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000206,CMP-000206,2026-04-29T22:40:46+00:00,PENDING,MEDIUM,POLICY-v1
ALT-000207,CMP-000207,2026-05-03T21:59:24+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000208,CMP-000208,2026-05-18T15:13:32+00:00,EXPIRED,LOW,POLICY-v1
ALT-000209,CMP-000209,2026-06-05T22:29:05+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000210,CMP-000210,2026-03-28T08:03:30+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000211,CMP-000211,2026-04-24T18:31:25+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000212,CMP-000212,2026-04-11T02:14:23+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000213,CMP-000213,2026-05-22T13:49:25+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000214,CMP-000214,2026-04-17T11:53:56+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000215,CMP-000215,2026-05-30T17:04:21+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000216,CMP-000216,2026-02-20T13:02:38+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000217,CMP-000217,2026-02-28T13:47:50+00:00,EXPIRED,LOW,POLICY-v1
ALT-000218,CMP-000218,2026-05-01T18:07:23+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000219,CMP-000219,2026-03-14T17:21:33+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000220,CMP-000220,2026-06-14T20:26:38+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000221,CMP-000221,2026-05-12T18:15:28+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000222,CMP-000222,2026-05-29T23:47:59+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000223,CMP-000223,2026-01-04T00:11:31+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000224,CMP-000224,2026-01-15T06:48:25+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000225,CMP-000225,2026-02-15T19:52:25+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000226,CMP-000226,2026-06-11T05:27:39+00:00,EXPIRED,MEDIUM,POLICY-v1
ALT-000227,CMP-000227,2026-05-25T22:31:00+00:00,ACTIONED,LOW,POLICY-v1
ALT-000228,CMP-000228,2026-01-28T08:13:12+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000229,CMP-000229,2026-05-25T19:17:02+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000230,CMP-000230,2026-01-21T02:48:03+00:00,ACTIONED,LOW,POLICY-v1
ALT-000231,CMP-000231,2026-04-01T04:30:28+00:00,ACTIONED,LOW,POLICY-v1
ALT-000232,CMP-000232,2026-01-07T14:18:12+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000233,CMP-000233,2026-01-18T01:54:48+00:00,PENDING,MEDIUM,POLICY-v1
ALT-000234,CMP-000234,2026-01-01T09:31:48+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000235,CMP-000235,2026-06-17T19:01:23+00:00,PENDING,MEDIUM,POLICY-v1
ALT-000236,CMP-000236,2026-03-03T18:31:09+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000237,CMP-000237,2026-05-10T22:07:56+00:00,ACTIONED,LOW,POLICY-v1
ALT-000238,CMP-000238,2026-03-22T21:05:21+00:00,EXPIRED,HIGH,POLICY-v1
ALT-000239,CMP-000239,2026-05-13T14:28:24+00:00,PENDING,MEDIUM,POLICY-v1
ALT-000240,CMP-000240,2026-01-05T19:34:28+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000241,CMP-000241,2026-06-13T13:42:37+00:00,PENDING,HIGH,POLICY-v1
ALT-000242,CMP-000242,2026-05-18T07:40:29+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000243,CMP-000243,2026-03-29T13:58:19+00:00,PENDING,HIGH,POLICY-v1
ALT-000244,CMP-000244,2026-02-01T21:55:55+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000245,CMP-000245,2026-04-23T01:36:37+00:00,EXPIRED,LOW,POLICY-v1
ALT-000246,CMP-000246,2026-04-24T14:54:29+00:00,PENDING,HIGH,POLICY-v1
ALT-000247,CMP-000247,2026-03-08T10:50:19+00:00,ACTIONED,HIGH,POLICY-v1
ALT-000248,CMP-000248,2026-06-27T07:00:44+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000249,CMP-000249,2026-06-09T03:00:07+00:00,ACTIONED,LOW,POLICY-v1
ALT-000250,CMP-000250,2026-04-23T07:23:41+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000251,CMP-000251,2026-04-26T15:42:47+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000252,CMP-000252,2026-02-16T12:27:12+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000253,CMP-000253,2026-03-22T18:54:53+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000254,CMP-000254,2026-01-12T11:55:06+00:00,EXPIRED,MEDIUM,POLICY-v1
ALT-000255,CMP-000255,2026-05-29T05:38:19+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000256,CMP-000256,2026-01-01T17:23:03+00:00,ACTIONED,LOW,POLICY-v1
ALT-000257,CMP-000257,2026-01-13T00:40:34+00:00,ACKNOWLEDGED,LOW,POLICY-v1
ALT-000258,CMP-000258,2026-06-18T06:00:18+00:00,PENDING,LOW,POLICY-v1
ALT-000259,CMP-000259,2026-01-02T19:32:50+00:00,PENDING,LOW,POLICY-v1
ALT-000260,CMP-000260,2026-05-11T06:39:47+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000261,CMP-000261,2026-03-13T16:03:16+00:00,PENDING,LOW,POLICY-v1
ALT-000262,CMP-000262,2026-01-03T03:35:41+00:00,ACKNOWLEDGED,MEDIUM,POLICY-v1
ALT-000263,CMP-000263,2026-04-21T13:12:06+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000264,CMP-000264,2026-03-13T14:47:37+00:00,EXPIRED,MEDIUM,POLICY-v1
ALT-000265,CMP-000265,2026-04-10T22:05:22+00:00,ACTIONED,MEDIUM,POLICY-v1
ALT-000266,CMP-000266,2026-03-15T14:40:44+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
ALT-000267,CMP-000267,2026-06-21T12:35:05+00:00,ACKNOWLEDGED,HIGH,POLICY-v1
