endpoint_id,endpoint_type,state,district,latitude,longitude,h3_cell
EP-00052,Prepaid,Tamil Nadu,Coimbatore,12.385708,72.5555,H3-4073680192399
EP-00053,ATM,Maharashtra,Mumbai,23.754299,75.34436,H3-5524450243443
EP-00054,AePS_BC,Karnataka,Mysuru,8.646621,68.186623,H3-1566156610234
EP-00055,Prepaid,Delhi,West Delhi,20.657676,84.844182,H3-2608189661281
EP-00056,Prepaid,Uttar Pradesh,Gautam Buddha Nagar,13.600851,76.200831,H3-6812100469061
EP-00057,Merchant_QR,West Bengal,North 24 Parganas,23.545773,81.715964,H3-4406403890938
EP-00058,Crypto_P2P,West Bengal,Howrah,19.291512,74.250357,H3-7491091122856
EP-00059,ATM,Tamil Nadu,Madurai,8.649788,77.021579,H3-4695451683345
EP-00060,Crypto_P2P,Tamil Nadu,Coimbatore,12.556136,68.618963,H3-4304750510601
EP-00061,ATM,Rajasthan,Udaipur,29.507423,74.31565,H3-6738018637939
EP-00062,Bank_Branch,Telangana,Nizamabad,15.803871,73.646676,H3-2126884217197
EP-00063,Merchant_QR,Madhya Pradesh,Jabalpur,8.223626,75.883428,H3-3708589341842
EP-00064,POS_Cashback,West Bengal,Kolkata,28.335915,70.904239,H3-8950047136848
EP-00065,ATM,Tamil Nadu,Coimbatore,14.240613,83.878232,H3-8405162449758
EP-00066,ATM,Maharashtra,Mumbai,29.496366,83.923936,H3-4083341566157
EP-00067,Crypto_P2P,Uttar Pradesh,Varanasi,18.914077,69.836147,H3-1255014655463
EP-00068,Merchant_QR,Maharashtra,Nagpur,9.73188,85.282123,H3-3874187217435
EP-00069,AePS_BC,Tamil Nadu,Coimbatore,26.287202,79.86711,H3-5834983244511
EP-00070,ATM,Tamil Nadu,Chennai,20.693956,75.534535,H3-9757194648146
EP-00071,Bank_Branch,Tamil Nadu,Chennai,19.259177,68.118592,H3-3392443326720
EP-00072,POS_Cashback,Madhya Pradesh,Jabalpur,10.778865,75.529272,H3-8604516920381
EP-00073,Merchant_QR,Bihar,Muzaffarpur,29.399212,86.877303,H3-4473834454991
EP-00074,Merchant_QR,West Bengal,Kolkata,21.745953,68.469506,H3-5902942743492
EP-00075,AePS_BC,Uttar Pradesh,Lucknow,8.000128,73.638633,H3-8852922885247
EP-00076,AePS_BC,Madhya Pradesh,Jabalpur,16.55571,70.648729,H3-8776985312982
EP-00077,ATM,Uttar Pradesh,Varanasi,14.382349,78.503145,H3-1328258518530
EP-00078,ATM,Tamil Nadu,Coimbatore,15.445792,72.157069,H3-7323650742904
EP-00079,Merchant_QR,Telangana,Hyderabad,16.557693,68.098156,H3-3934987498865
EP-00080,Crypto_P2P,Telangana,Nizamabad,20.985995,87.962258,H3-3130366837128
EP-00081,AePS_BC,Tamil Nadu,Chennai,21.745789,74.526774,H3-3626367827956
EP-00082,POS_Cashback,Bihar,Bhagalpur,14.776588,84.388541,H3-8291350975365
EP-00083,Merchant_QR,Madhya Pradesh,Jabalpur,27.77894,73.273686,H3-1405807580809
EP-00084,Crypto_P2P,Karnataka,Mangaluru,15.381743,76.674125,H3-9693894544675
EP-00085,Merchant_QR,Rajasthan,Kota,27.62083,73.423113,H3-2380917396082
EP-00086,AePS_BC,Bihar,Muzaffarpur,30.162818,69.375559,H3-4105188726095
EP-00087,AePS_BC,Telangana,Hyderabad,12.96232,84.115879,H3-4503250987999
EP-00088,Merchant_QR,Maharashtra,Nashik,9.157912,70.467245,H3-3554840847868
EP-00089,Crypto_P2P,Karnataka,Bengaluru Urban,8.752701,70.937512,H3-2848252942725
EP-00090,Merchant_QR,Uttar Pradesh,Gautam Buddha Nagar,28.123707,87.80757,H3-5309882302888
EP-00091,Bank_Branch,Karnataka,Bengaluru Urban,23.59395,83.184619,H3-1904588301364
EP-00092,Bank_Branch,Rajasthan,Kota,23.21691,77.13315,H3-7266114325560
EP-00093,Crypto_P2P,Karnataka,Mangaluru,27.51002,86.726969,H3-6935662526569
EP-00094,Merchant_QR,Madhya Pradesh,Bhopal,19.578055,79.96625,H3-1762503319134
EP-00095,AePS_BC,Bihar,Bhagalpur,18.757512,78.798384,H3-8032491512045
EP-00096,Prepaid,Delhi,New Delhi,19.593974,80.416607,H3-2620258296916
EP-00097,AePS_BC,Rajasthan,Udaipur,23.965712,81.5991,H3-2888688603796
EP-00098,AePS_BC,Rajasthan,Jaipur,8.516185,80.457372,H3-1075159386310
EP-00099,Crypto_P2P,Madhya Pradesh,Indore,26.822798,80.273492,H3-2103414920908
EP-00100,Merchant_QR,West Bengal,Kolkata,21.113464,84.652099,H3-3122680118069
EP-00101,ATM,Karnataka,Bengaluru Urban,13.987092,70.306275,H3-3487067805932
EP-00102,Crypto_P2P,Uttar Pradesh,Lucknow,27.064532,82.650656,H3-8823348361443
EP-00103,ATM,Tamil Nadu,Chennai,25.788105,75.748686,H3-5204630253760
EP-00104,ATM,Uttar Pradesh,Jaunpur,24.476615,81.588952,H3-9220765548163
EP-00105,Merchant_QR,Bihar,Gaya,28.229478,87.508886,H3-1412289346082
EP-00106,ATM,Rajasthan,Kota,13.9109,76.478749,H3-9621132876869
EP-00107,Merchant_QR,Madhya Pradesh,Bhopal,19.665605,79.151779,H3-2840333649756
EP-00108,POS_Cashback,Bihar,Patna,21.589585,73.092929,H3-9068713411323
EP-00109,ATM,Rajasthan,Kota,27.119882,73.913818,H3-3368347727584
EP-00110,Bank_Branch,Rajasthan,Kota,24.378474,70.754031,H3-3364714603350
EP-00111,POS_Cashback,Maharashtra,Nagpur,25.811896,76.054643,H3-3609059466670
EP-00112,AePS_BC,Maharashtra,Nagpur,16.229849,75.972762,H3-4498901989880
EP-00113,Crypto_P2P,Uttar Pradesh,Kanpur Nagar,23.31709,88.18779,H3-5101005030984
EP-00114,Prepaid,Bihar,Bhagalpur,25.62598,74.704466,H3-2941227631842
EP-00115,Merchant_QR,Bihar,Bhagalpur,20.396104,77.512083,H3-3319059481673
EP-00116,Prepaid,Uttar Pradesh,Gautam Buddha Nagar,9.071423,84.05657,H3-5285391695309
EP-00117,POS_Cashback,West Bengal,Kolkata,22.723249,72.777975,H3-5482616885582
EP-00118,AePS_BC,Rajasthan,Udaipur,24.110918,82.48306,H3-4463691616563
EP-00119,ATM,Maharashtra,Thane,18.75607,69.973866,H3-9325556742066
EP-00120,ATM,Rajasthan,Udaipur,8.680674,73.533093,H3-5215718298057
EP-00121,Crypto_P2P,Tamil Nadu,Madurai,13.282043,84.553595,H3-2180743022726
EP-00122,Merchant_QR,West Bengal,North 24 Parganas,20.699994,85.556545,H3-4789582188039
EP-00123,POS_Cashback,Karnataka,Bengaluru Urban,8.018779,74.940905,H3-3155638688603
EP-00124,AePS_BC,Bihar,Gaya,12.866058,79.707182,H3-5402812920810
EP-00125,AePS_BC,West Bengal,Kolkata,27.455338,76.497887,H3-7333738611023
EP-00126,AePS_BC,Madhya Pradesh,Indore,10.622294,74.178686,H3-4369175756619
EP-00127,Bank_Branch,Bihar,Gaya,12.828638,87.824918,H3-1940017119251
EP-00128,Crypto_P2P,Telangana,Hyderabad,8.665411,85.614736,H3-4669867930422
EP-00129,AePS_BC,Uttar Pradesh,Jaunpur,11.225345,85.937838,H3-1486292907006
EP-00130,ATM,Uttar Pradesh,Kanpur Nagar,29.696213,74.46906,H3-2326279149500
EP-00131,Crypto_P2P,Delhi,New Delhi,29.735516,85.165274,H3-9927333692800
EP-00132,Bank_Branch,Uttar Pradesh,Lucknow,29.723817,74.259851,H3-1044978257968
EP-00133,AePS_BC,Madhya Pradesh,Jabalpur,28.854996,81.600879,H3-8735150706289
EP-00134,Merchant_QR,Tamil Nadu,Coimbatore,27.985008,78.261648,H3-3153982078247
EP-00135,AePS_BC,Tamil Nadu,Chennai,26.4753,84.932934,H3-3596738911730
EP-00136,Merchant_QR,Telangana,Warangal,15.788054,85.217176,H3-6946610165224
EP-00137,Merchant_QR,Maharashtra,Thane,21.022798,76.630795,H3-2654241576277
EP-00138,AePS_BC,Delhi,New Delhi,13.437976,72.064094,H3-6460346334594
EP-00139,AePS_BC,Bihar,Gaya,18.060191,69.550201,H3-3983623732042
EP-00140,Merchant_QR,Maharashtra,Mumbai,18.357069,83.738714,H3-3107850053040
EP-00141,POS_Cashback,Maharashtra,Pune,14.256748,81.776567,H3-7959703929914
EP-00142,Merchant_QR,Karnataka,Mangaluru,11.582978,80.568125,H3-2535742112992
EP-00143,Merchant_QR,Karnataka,Mangaluru,22.063883,87.836051,H3-8340201342447
EP-00144,Crypto_P2P,Bihar,Muzaffarpur,29.847144,81.457374,H3-5641627446642
EP-00145,AePS_BC,Telangana,Warangal,29.103456,84.108522,H3-5093579762737
EP-00146,ATM,Telangana,Hyderabad,26.523825,82.357107,H3-6150158065688
EP-00147,POS_Cashback,Rajasthan,Kota,14.260488,83.77809,H3-4523856244003
EP-00148,POS_Cashback,Maharashtra,Thane,21.679246,85.140897,H3-5682720416290
EP-00149,Merchant_QR,Telangana,Nizamabad,18.292966,78.849734,H3-1860837504704
EP-00150,AePS_BC,Delhi,North East Delhi,27.892376,84.264098,H3-4694050860678
EP-00151,Merchant_QR,Madhya Pradesh,Bhopal,12.170106,82.309208,H3-2777439351744
EP-00152,ATM,Telangana,Warangal,24.110643,85.507093,H3-4137121413406
EP-00153,AePS_BC,West Bengal,Kolkata,17.462688,78.748702,H3-9097411602743
EP-00154,AePS_BC,Telangana,Hyderabad,29.471062,83.855159,H3-4297962071620
EP-00155,Bank_Branch,Bihar,Patna,24.243528,71.059039,H3-6954818751429
EP-00156,ATM,West Bengal,North 24 Parganas,29.091948,69.374458,H3-6046383117809
EP-00157,POS_Cashback,Madhya Pradesh,Bhopal,23.30898,68.748215,H3-7053245395884
EP-00158,Prepaid,Delhi,West Delhi,13.310273,80.122083,H3-4405676830305
EP-00159,AePS_BC,Madhya Pradesh,Indore,15.944777,82.726166,H3-6021960255765
EP-00160,Prepaid,West Bengal,Kolkata,20.127291,74.637231,H3-2781422590136
EP-00161,Crypto_P2P,Karnataka,Mysuru,24.558888,78.355281,H3-3903543318368
EP-00162,Crypto_P2P,Maharashtra,Pune,9.546589,80.422309,H3-9741337357808
EP-00163,Prepaid,Telangana,Warangal,25.607605,85.378287,H3-5928470356773
EP-00164,ATM,Tamil Nadu,Madurai,24.459734,79.51786,H3-7838013013096
EP-00165,AePS_BC,Maharashtra,Nagpur,28.172438,86.303873,H3-7042468474968
EP-00166,Crypto_P2P,Telangana,Hyderabad,15.737489,70.688453,H3-6108193353114
EP-00167,POS_Cashback,Bihar,Gaya,29.480243,86.586719,H3-1692261982827
EP-00168,AePS_BC,West Bengal,Howrah,17.669658,68.718447,H3-2590231360946
EP-00169,Crypto_P2P,Madhya Pradesh,Bhopal,13.691219,75.837811,H3-3195640441527
EP-00170,Prepaid,Rajasthan,Jaipur,19.149521,86.189032,H3-6455034390676
EP-00171,AePS_BC,Telangana,Nizamabad,25.496566,72.223979,H3-6795720022226
EP-00172,Crypto_P2P,Bihar,Gaya,22.005944,81.081599,H3-1788873843199
EP-00173,AePS_BC,Uttar Pradesh,Kanpur Nagar,29.311677,87.285176,H3-2326541171768
EP-00174,AePS_BC,Rajasthan,Jodhpur,16.135047,77.890535,H3-2339319906642
EP-00175,AePS_BC,Uttar Pradesh,Lucknow,23.424168,78.761854,H3-1838058378031
EP-00176,AePS_BC,West Bengal,Howrah,13.893953,85.859473,H3-6592180623146
EP-00177,Bank_Branch,Tamil Nadu,Chennai,28.893068,77.056037,H3-9935315688740
EP-00178,Merchant_QR,Karnataka,Mangaluru,16.61414,77.973862,H3-2544520389026
EP-00179,ATM,Delhi,New Delhi,18.427599,73.349669,H3-7889613644216
EP-00180,ATM,Delhi,New Delhi,21.49366,71.085067,H3-4423634608112
EP-00181,POS_Cashback,West Bengal,Kolkata,27.659184,74.975807,H3-8606498101674
EP-00182,Merchant_QR,Uttar Pradesh,Lucknow,16.91985,86.819317,H3-4294057139999
EP-00183,ATM,Delhi,New Delhi,18.766949,76.899059,H3-3098593751472
EP-00184,AePS_BC,Rajasthan,Udaipur,17.917902,76.14481,H3-4892728500659
EP-00185,Prepaid,West Bengal,North 24 Parganas,23.893439,77.102583,H3-8206228000999
EP-00186,ATM,Delhi,South East Delhi,18.77047,69.398689,H3-2498487715972
EP-00187,ATM,Tamil Nadu,Madurai,22.507631,76.483507,H3-4050779204907
EP-00188,Merchant_QR,Bihar,Muzaffarpur,27.221705,84.05395,H3-6631847973256
EP-00189,Merchant_QR,Delhi,North East Delhi,21.568015,84.531145,H3-7071948394868
EP-00190,AePS_BC,West Bengal,North 24 Parganas,28.9634,82.842598,H3-6122909578527
EP-00191,Crypto_P2P,Maharashtra,Pune,18.44316,70.024004,H3-9554086531494
EP-00192,Prepaid,Madhya Pradesh,Bhopal,20.691973,81.305509,H3-9468075265905
EP-00193,Crypto_P2P,West Bengal,North 24 Parganas,19.702889,71.545883,H3-4899713821961
EP-00194,Merchant_QR,Tamil Nadu,Chennai,20.222399,82.460409,H3-2706429300322
EP-00195,Merchant_QR,Delhi,North East Delhi,15.906237,86.344296,H3-5487590667030
EP-00196,AePS_BC,Uttar Pradesh,Kanpur Nagar,29.726362,79.54314,H3-2918123756870
EP-00197,Merchant_QR,Uttar Pradesh,Gautam Buddha Nagar,30.212108,78.573951,H3-6791399747822
EP-00198,ATM,Madhya Pradesh,Indore,14.906857,77.099189,H3-6565211143938
EP-00199,ATM,Tamil Nadu,Chennai,14.899437,68.069835,H3-6234494583823
EP-00200,Merchant_QR,Maharashtra,Mumbai,22.534435,70.354536,H3-5530541443509
EP-00201,ATM,Karnataka,Mangaluru,28.490104,69.745745,H3-8260799234147
EP-00202,POS_Cashback,Madhya Pradesh,Indore,16.597211,74.102445,H3-5711922645434
EP-00203,Crypto_P2P,Maharashtra,Pune,11.436021,73.761488,H3-1708510668404
EP-00204,Crypto_P2P,Madhya Pradesh,Indore,20.724611,79.611301,H3-6748479431599
EP-00205,Merchant_QR,Uttar Pradesh,Kanpur Nagar,10.055262,69.582192,H3-3642433589443
EP-00206,Merchant_QR,Maharashtra,Mumbai,26.4838,83.171623,H3-7624341531290
EP-00207,ATM,Delhi,West Delhi,25.681667,88.116302,H3-5191375692893
EP-00208,AePS_BC,Bihar,Gaya,21.976508,75.719119,H3-7318609396025
EP-00209,ATM,Maharashtra,Mumbai,8.117259,75.937485,H3-9924792728983
EP-00210,POS_Cashback,Telangana,Warangal,25.975512,82.712398,H3-8377379313389
EP-00211,Merchant_QR,Telangana,Hyderabad,17.782997,71.02023,H3-8474469908441
EP-00212,Prepaid,Uttar Pradesh,Varanasi,20.770834,71.733587,H3-1281411595649
EP-00213,AePS_BC,Tamil Nadu,Madurai,22.623117,87.676067,H3-2991401671603
EP-00214,Merchant_QR,Bihar,Patna,29.919016,69.428949,H3-1060181681834
EP-00215,ATM,Delhi,South East Delhi,26.434187,68.578467,H3-9920768156741
EP-00216,AePS_BC,Maharashtra,Thane,18.106893,71.578233,H3-2821567976028
EP-00217,ATM,Tamil Nadu,Coimbatore,22.478431,73.335525,H3-2372873833754
EP-00218,Crypto_P2P,Madhya Pradesh,Jabalpur,9.940991,79.687221,H3-1480241223477
EP-00219,ATM,Bihar,Patna,23.909723,85.165068,H3-4200233523547
EP-00220,AePS_BC,Tamil Nadu,Chennai,24.584113,68.155249,H3-4934237912716
EP-00221,Bank_Branch,Bihar,Patna,10.12834,76.534048,H3-9280260286277
EP-00222,Merchant_QR,Madhya Pradesh,Bhopal,9.535724,87.216089,H3-5463173341233
EP-00223,Merchant_QR,Uttar Pradesh,Varanasi,29.755382,85.925149,H3-6692954637283
EP-00224,Merchant_QR,West Bengal,Kolkata,23.105378,74.261271,H3-5567474478778
EP-00225,Merchant_QR,Delhi,New Delhi,12.718291,81.35895,H3-8864673548327
EP-00226,ATM,Delhi,West Delhi,18.104555,75.936621,H3-7242857789100
EP-00227,AePS_BC,Delhi,North East Delhi,15.302073,70.59374,H3-7778344093537
EP-00228,POS_Cashback,Madhya Pradesh,Bhopal,26.875466,74.580957,H3-8670383368187
EP-00229,ATM,Bihar,Bhagalpur,13.579203,83.608525,H3-7752360061713
EP-00230,Merchant_QR,Telangana,Warangal,8.608418,85.566276,H3-4200473053693
EP-00231,Merchant_QR,Madhya Pradesh,Bhopal,19.656352,72.694777,H3-9530357675282
EP-00232,Crypto_P2P,Uttar Pradesh,Jaunpur,11.258299,72.19454,H3-4551354295269
EP-00233,Merchant_QR,Uttar Pradesh,Varanasi,23.25971,84.126943,H3-1694527314707
EP-00234,POS_Cashback,Uttar Pradesh,Varanasi,9.02224,71.632267,H3-6359422946884
EP-00235,AePS_BC,Maharashtra,Nashik,25.056239,71.370604,H3-7797706522386
EP-00236,Merchant_QR,Rajasthan,Jaipur,24.533927,81.475471,H3-6432008833484
EP-00237,AePS_BC,Rajasthan,Udaipur,17.018872,79.088366,H3-1714659515180
EP-00238,Crypto_P2P,Delhi,West Delhi,17.735139,69.208717,H3-4002090122310
EP-00239,POS_Cashback,Rajasthan,Udaipur,13.158033,70.375232,H3-9934845247555
EP-00240,AePS_BC,Karnataka,Mysuru,29.702225,78.973382,H3-3007434886933
EP-00241,ATM,West Bengal,North 24 Parganas,27.138406,80.663721,H3-3083306934419
EP-00242,Crypto_P2P,West Bengal,Howrah,9.099492,76.350292,H3-3231153793918
EP-00243,Prepaid,West Bengal,North 24 Parganas,27.892417,87.193452,H3-6462034606740
EP-00244,Bank_Branch,Karnataka,Bengaluru Urban,16.582598,80.109585,H3-5649987012372
EP-00245,ATM,Tamil Nadu,Coimbatore,9.698974,84.404237,H3-2193939032324
EP-00246,POS_Cashback,Uttar Pradesh,Lucknow,15.210395,76.927154,H3-3821646798218
EP-00247,Bank_Branch,Tamil Nadu,Madurai,19.481175,84.425014,H3-3021228879322
EP-00248,Merchant_QR,Tamil Nadu,Chennai,23.125395,74.932103,H3-1077919234453
EP-00249,Merchant_QR,Delhi,New Delhi,14.865269,69.351274,H3-6704527341598
EP-00250,POS_Cashback,West Bengal,Howrah,17.955788,70.924916,H3-9814587831671
EP-00251,POS_Cashback,Tamil Nadu,Madurai,30.403127,85.313449,H3-2507883096615
EP-00252,AePS_BC,Karnataka,Mysuru,15.706387,82.059067,H3-9405595757233
EP-00253,ATM,Maharashtra,Mumbai,13.415766,78.132316,H3-4034263659390
EP-00254,Bank_Branch,Maharashtra,Nashik,16.331853,81.334858,H3-9430942052666
EP-00255,Bank_Branch,Tamil Nadu,Chennai,27.172602,73.713231,H3-4508699440834
EP-00256,Prepaid,West Bengal,Kolkata,8.189342,69.513701,H3-9995562436518
EP-00257,Crypto_P2P,Uttar Pradesh,Gautam Buddha Nagar,17.544298,81.528855,H3-5269537751351
EP-00258,Merchant_QR,Delhi,West Delhi,13.286403,85.250109,H3-7313735640327
EP-00259,ATM,Madhya Pradesh,Indore,28.481673,76.481479,H3-9673541947839
EP-00260,AePS_BC,Karnataka,Mangaluru,25.678064,68.645018,H3-4381269882413
EP-00261,AePS_BC,Uttar Pradesh,Lucknow,17.615196,83.262297,H3-2810249757047
EP-00262,AePS_BC,Madhya Pradesh,Bhopal,24.942721,77.24786,H3-9819048143988
EP-00263,AePS_BC,Telangana,Nizamabad,12.586613,77.235325,H3-8693357233482
EP-00264,Prepaid,Bihar,Bhagalpur,10.824048,82.916726,H3-2486893691925
EP-00265,Crypto_P2P,Uttar Pradesh,Lucknow,13.81083,68.180976,H3-4063510090889
EP-00266,AePS_BC,Karnataka,Mysuru,25.982222,74.271357,H3-4661678128170
EP-00267,POS_Cashback,Karnataka,Bengaluru Urban,16.70398,84.859756,H3-5119911494521
EP-00268,AePS_BC,Telangana,Warangal,11.688928,84.199696,H3-1344257206533
EP-00269,Merchant_QR,Rajasthan,Kota,19.331274,71.18133,H3-7100975547789
EP-00270,Prepaid,Uttar Pradesh,Lucknow,25.066004,87.221396,H3-3690124554557
EP-00271,Merchant_QR,Madhya Pradesh,Bhopal,17.80761,73.148557,H3-2999628350813
EP-00272,Bank_Branch,Madhya Pradesh,Indore,10.380726,75.352343,H3-7407551462572
EP-00273,Crypto_P2P,Tamil Nadu,Coimbatore,24.090468,81.426647,H3-7854705623531
EP-00274,Prepaid,Tamil Nadu,Chennai,26.993528,86.44376,H3-4374934366859
EP-00275,POS_Cashback,West Bengal,Kolkata,14.292421,79.460607,H3-5325557041612
EP-00276,Merchant_QR,Telangana,Warangal,27.585733,75.693315,H3-9285019965021
EP-00277,Bank_Branch,West Bengal,Howrah,21.230291,82.810194,H3-2876688032857
EP-00278,Prepaid,Bihar,Bhagalpur,18.821443,71.695776,H3-3036481364080
EP-00279,Merchant_QR,West Bengal,North 24 Parganas,15.388803,72.168109,H3-1143245029633
EP-00280,Bank_Branch,Madhya Pradesh,Bhopal,8.632137,85.978,H3-2661621023069
EP-00281,POS_Cashback,Uttar Pradesh,Gautam Buddha Nagar,9.547223,70.483963,H3-7372168516254
EP-00282,ATM,Uttar Pradesh,Lucknow,26.766524,74.877364,H3-3057622986122
EP-00283,Merchant_QR,West Bengal,North 24 Parganas,11.818716,79.236165,H3-4330419960241
EP-00284,AePS_BC,Madhya Pradesh,Indore,17.370674,69.858576,H3-1795195411526
EP-00285,Merchant_QR,Madhya Pradesh,Indore,24.822546,79.471785,H3-4442381806283
EP-00286,Prepaid,Delhi,North East Delhi,8.870545,82.561367,H3-5576264480376
EP-00287,Prepaid,Delhi,West Delhi,29.235784,76.264274,H3-5377505449771
EP-00288,Prepaid,Rajasthan,Jodhpur,20.295994,83.591797,H3-9330459188913
EP-00289,ATM,Bihar,Muzaffarpur,28.338831,75.369813,H3-7260581416483
EP-00290,ATM,Telangana,Warangal,28.531123,69.152487,H3-4764636969315
EP-00291,ATM,West Bengal,Howrah,9.265728,82.073228,H3-2585338162469
EP-00292,ATM,Delhi,South East Delhi,17.970579,74.18562,H3-9313511120494
EP-00293,Bank_Branch,Maharashtra,Nagpur,8.012732,78.127599,H3-1544495975188
EP-00294,ATM,Bihar,Gaya,19.452485,84.088897,H3-4859498673030
EP-00295,ATM,Tamil Nadu,Coimbatore,24.278489,74.609332,H3-8817134747511
EP-00296,ATM,Madhya Pradesh,Jabalpur,25.378308,71.925811,H3-6927577633627
EP-00297,AePS_BC,West Bengal,Kolkata,29.338751,77.280269,H3-4538128215450
EP-00298,Bank_Branch,Rajasthan,Jaipur,12.714075,88.457655,H3-5376847506569
EP-00299,Merchant_QR,Madhya Pradesh,Bhopal,8.833232,84.568888,H3-7773726800228
EP-00300,ATM,Madhya Pradesh,Jabalpur,27.91159,86.076851,H3-2375685699222
EP-00301,ATM,Tamil Nadu,Chennai,8.505456,70.82861,H3-2483229024924
EP-00302,Bank_Branch,Delhi,North East Delhi,13.073366,86.549504,H3-4127090261934
EP-00303,AePS_BC,Telangana,Hyderabad,25.767997,74.742967,H3-7302655994585
EP-00304,ATM,Maharashtra,Nagpur,15.045765,87.240134,H3-9320819324720
EP-00305,AePS_BC,Madhya Pradesh,Bhopal,27.637118,85.857554,H3-8576815360723
EP-00306,Crypto_P2P,Rajasthan,Jaipur,15.215904,75.367184,H3-3091589694273
