intervention_id,complaint_id,intervention_type,outcome,time_to_action_hours,recipient_response
INT-000250,CMP-000250,ENDPOINT_WATCH,PARTIAL,9.34,ACTED
INT-000251,CMP-000251,LIEN_MARK,SUCCESS,45.11,FALSE_POSITIVE
INT-000252,CMP-000252,JURISDICTION_HANDOFF,PARTIAL,14.02,FALSE_POSITIVE
INT-000253,CMP-000253,ENDPOINT_WATCH,SUCCESS,23.29,ACTED
INT-000254,CMP-000254,NO_ACTION,SUCCESS,24.58,ALREADY_ACTIONED
INT-000255,CMP-000255,LIEN_MARK,SUCCESS,38.77,ACTED
INT-000256,CMP-000256,JURISDICTION_HANDOFF,SUCCESS,17.88,ALREADY_ACTIONED
INT-000257,CMP-000257,ENDPOINT_WATCH,PARTIAL,42.65,ACTED
INT-000258,CMP-000258,NO_ACTION,SUCCESS,21.43,ACTED
INT-000259,CMP-000259,ENDPOINT_WATCH,SUCCESS,21.4,ACTED
INT-000260,CMP-000260,NO_ACTION,PARTIAL,5.25,NOT_ACTED
INT-000261,CMP-000261,NO_ACTION,SUCCESS,29.14,NOT_ACTED
INT-000262,CMP-000262,ENDPOINT_WATCH,NO_ACTION,9.4,NOT_ACTED
INT-000263,CMP-000263,NO_ACTION,PARTIAL,46.57,ACTED
INT-000264,CMP-000264,NO_ACTION,SUCCESS,5.75,ACTED
INT-000265,CMP-000265,NO_ACTION,SUCCESS,4.77,ACTED
INT-000266,CMP-000266,NO_ACTION,PARTIAL,47.25,ACTED
INT-000267,CMP-000267,ACCOUNT_FREEZE,SUCCESS,32.15,ACTED
INT-000268,CMP-000268,LIEN_MARK,SUCCESS,41.12,ACTED
INT-000269,CMP-000269,NO_ACTION,SUCCESS,21.16,NOT_ACTED
INT-000270,CMP-000270,JURISDICTION_HANDOFF,SUCCESS,13.18,ACTED
INT-000271,CMP-000271,ACCOUNT_FREEZE,PARTIAL,4.86,NOT_ACTED
INT-000272,CMP-000272,ENDPOINT_WATCH,SUCCESS,6.32,ACTED
INT-000273,CMP-000273,NO_ACTION,SUCCESS,19.06,ACTED
INT-000274,CMP-000274,NO_ACTION,NO_ACTION,8.22,ALREADY_ACTIONED
INT-000275,CMP-000275,LIEN_MARK,NO_ACTION,8.83,NOT_ACTED
INT-000276,CMP-000276,JURISDICTION_HANDOFF,NO_ACTION,34.89,ALREADY_ACTIONED
INT-000277,CMP-000277,JURISDICTION_HANDOFF,SUCCESS,21.98,NOT_ACTED
INT-000278,CMP-000278,ENDPOINT_WATCH,NO_ACTION,7.17,NOT_ACTED
INT-000279,CMP-000279,NO_ACTION,SUCCESS,5.91,ALREADY_ACTIONED
INT-000280,CMP-000280,LIEN_MARK,PARTIAL,25.07,OUT_OF_SCOPE
INT-000281,CMP-000281,ACCOUNT_FREEZE,SUCCESS,46.95,ACTED
INT-000282,CMP-000282,ACCOUNT_FREEZE,PARTIAL,25.33,NOT_ACTED
INT-000283,CMP-000283,ENDPOINT_WATCH,SUCCESS,45.45,ALREADY_ACTIONED
INT-000284,CMP-000284,LIEN_MARK,SUCCESS,25.62,ALREADY_ACTIONED
INT-000285,CMP-000285,JURISDICTION_HANDOFF,SUCCESS,32.89,NOT_ACTED
INT-000286,CMP-000286,JURISDICTION_HANDOFF,SUCCESS,16.02,ACTED
INT-000287,CMP-000287,ACCOUNT_FREEZE,SUCCESS,35.24,ALREADY_ACTIONED
INT-000288,CMP-000288,LIEN_MARK,NO_ACTION,35.33,OUT_OF_SCOPE
INT-000289,CMP-000289,LIEN_MARK,PARTIAL,37.7,ACTED
INT-000290,CMP-000290,LIEN_MARK,SUCCESS,19.8,ACTED
INT-000291,CMP-000291,ACCOUNT_FREEZE,SUCCESS,10.37,ALREADY_ACTIONED
INT-000292,CMP-000292,LIEN_MARK,NO_ACTION,24.55,ACTED
INT-000293,CMP-000293,ACCOUNT_FREEZE,NO_ACTION,25.35,ACTED
INT-000294,CMP-000294,LIEN_MARK,PARTIAL,37.66,NOT_ACTED
INT-000295,CMP-000295,NO_ACTION,SUCCESS,4.09,OUT_OF_SCOPE
INT-000296,CMP-000296,NO_ACTION,SUCCESS,31.01,ACTED
INT-000297,CMP-000297,JURISDICTION_HANDOFF,PARTIAL,24.32,ACTED
INT-000298,CMP-000298,ACCOUNT_FREEZE,SUCCESS,5.38,ACTED
INT-000299,CMP-000299,ENDPOINT_WATCH,PARTIAL,40.37,ALREADY_ACTIONED
INT-000300,CMP-000300,ENDPOINT_WATCH,SUCCESS,31.77,ALREADY_ACTIONED
INT-000301,CMP-000301,LIEN_MARK,SUCCESS,26.87,FALSE_POSITIVE
INT-000302,CMP-000302,NO_ACTION,NO_ACTION,35.57,OUT_OF_SCOPE
INT-000303,CMP-000303,ENDPOINT_WATCH,NO_ACTION,46.12,ACTED
INT-000304,CMP-000304,ACCOUNT_FREEZE,SUCCESS,43.75,ALREADY_ACTIONED
INT-000305,CMP-000305,NO_ACTION,SUCCESS,46.19,ALREADY_ACTIONED
INT-000306,CMP-000306,ENDPOINT_WATCH,SUCCESS,32.47,ACTED
INT-000307,CMP-000307,ACCOUNT_FREEZE,PARTIAL,32.4,NOT_ACTED
INT-000308,CMP-000308,ENDPOINT_WATCH,SUCCESS,14.97,NOT_ACTED
INT-000309,CMP-000309,NO_ACTION,PARTIAL,33.71,OUT_OF_SCOPE
INT-000310,CMP-000310,NO_ACTION,NO_ACTION,24.26,OUT_OF_SCOPE
INT-000311,CMP-000311,NO_ACTION,PARTIAL,17.07,FALSE_POSITIVE
