entity_id,entity_type,state,external_ref,linked_entity_count,synthetic_risk_seed
ENT-000083,PHONE,Karnataka,ENT-REF-760647,24,0.1452
ENT-000084,ACCOUNT,Karnataka,ENT-REF-388126,54,0.0527
ENT-000085,ACCOUNT,Bihar,ENT-REF-425227,76,0.1711
ENT-000086,ACCOUNT,Telangana,ENT-REF-789226,61,0.2306
ENT-000087,PHONE,Uttar Pradesh,ENT-REF-846098,68,0.0747
ENT-000088,ACCOUNT,West Bengal,ENT-REF-201133,27,0.1776
ENT-000089,MERCHANT,Madhya Pradesh,ENT-REF-117774,77,0.5878
ENT-000090,PHONE,West Bengal,ENT-REF-976777,57,0.0577
ENT-000091,ACCOUNT,Rajasthan,ENT-REF-335043,19,0.4247
ENT-000092,ACCOUNT,West Bengal,ENT-REF-941629,40,0.0852
ENT-000093,PHONE,West Bengal,ENT-REF-339814,28,0.1336
ENT-000094,MERCHANT,Bihar,ENT-REF-843568,32,0.129
ENT-000095,ACCOUNT,Rajasthan,ENT-REF-714832,4,0.1983
ENT-000096,PHONE,Telangana,ENT-REF-780276,64,0.0435
ENT-000097,PHONE,Karnataka,ENT-REF-109340,36,0.1548
ENT-000098,WALLET,Bihar,ENT-REF-554326,36,0.3796
ENT-000099,ACCOUNT,Maharashtra,ENT-REF-612255,33,0.0349
ENT-000100,DEVICE,Telangana,ENT-REF-419204,35,0.0355
ENT-000101,ACCOUNT,Tamil Nadu,ENT-REF-670695,31,0.205
ENT-000102,PHONE,Madhya Pradesh,ENT-REF-223308,10,0.0084
ENT-000103,PHONE,Uttar Pradesh,ENT-REF-326716,72,0.1698
ENT-000104,BENEFICIARY,Bihar,ENT-REF-922559,73,0.0976
ENT-000105,ACCOUNT,Karnataka,ENT-REF-608191,68,0.2691
ENT-000106,WALLET,Karnataka,ENT-REF-155588,40,0.2146
ENT-000107,BENEFICIARY,Madhya Pradesh,ENT-REF-544052,76,0.3103
ENT-000108,DEVICE,Delhi,ENT-REF-671301,70,0.0663
ENT-000109,DEVICE,Karnataka,ENT-REF-246978,26,0.2736
ENT-000110,ACCOUNT,Uttar Pradesh,ENT-REF-650899,41,0.1544
ENT-000111,ACCOUNT,Maharashtra,ENT-REF-679873,60,0.4142
ENT-000112,MERCHANT,Telangana,ENT-REF-108417,63,0.0646
ENT-000113,PHONE,Bihar,ENT-REF-595011,35,0.1858
ENT-000114,ACCOUNT,Bihar,ENT-REF-430984,40,0.0967
ENT-000115,ACCOUNT,Uttar Pradesh,ENT-REF-614644,21,0.256
ENT-000116,ACCOUNT,Delhi,ENT-REF-982445,66,0.0507
ENT-000117,PHONE,Delhi,ENT-REF-742771,41,0.1946
ENT-000118,ACCOUNT,Telangana,ENT-REF-190491,18,0.0552
ENT-000119,DEVICE,Uttar Pradesh,ENT-REF-198096,40,0.276
ENT-000120,ACCOUNT,Rajasthan,ENT-REF-142302,10,0.0469
ENT-000121,DEVICE,Tamil Nadu,ENT-REF-299847,26,0.4409
ENT-000122,ACCOUNT,Karnataka,ENT-REF-345334,39,0.3323
ENT-000123,ACCOUNT,Maharashtra,ENT-REF-413405,66,0.2727
ENT-000124,BENEFICIARY,Madhya Pradesh,ENT-REF-187009,33,0.2834
ENT-000125,PHONE,Telangana,ENT-REF-239615,11,0.1998
ENT-000126,ACCOUNT,Madhya Pradesh,ENT-REF-892286,72,0.1627
ENT-000127,DEVICE,Bihar,ENT-REF-154879,49,0.0115
ENT-000128,ACCOUNT,Uttar Pradesh,ENT-REF-550913,74,0.2152
ENT-000129,BENEFICIARY,Madhya Pradesh,ENT-REF-964286,16,0.3051
ENT-000130,ACCOUNT,Karnataka,ENT-REF-855948,26,0.4344
ENT-000131,ACCOUNT,Maharashtra,ENT-REF-583471,67,0.1655
ENT-000132,ACCOUNT,Rajasthan,ENT-REF-291045,70,0.0581
ENT-000133,ACCOUNT,Rajasthan,ENT-REF-912278,39,0.3436
ENT-000134,PHONE,West Bengal,ENT-REF-782389,5,0.0497
ENT-000135,MERCHANT,Tamil Nadu,ENT-REF-688280,66,0.214
ENT-000136,ACCOUNT,Telangana,ENT-REF-158520,42,0.2507
ENT-000137,ACCOUNT,Tamil Nadu,ENT-REF-706368,60,0.0409
ENT-000138,ACCOUNT,Delhi,ENT-REF-273287,4,0.0513
ENT-000139,PHONE,Delhi,ENT-REF-383450,76,0.3205
ENT-000140,ACCOUNT,Karnataka,ENT-REF-175156,54,0.2771
ENT-000141,ACCOUNT,Maharashtra,ENT-REF-951913,44,0.1918
ENT-000142,MERCHANT,West Bengal,ENT-REF-656984,27,0.4451
ENT-000143,BENEFICIARY,Maharashtra,ENT-REF-109306,11,0.2007
ENT-000144,PHONE,Maharashtra,ENT-REF-599880,3,0.5462
ENT-000145,BENEFICIARY,Karnataka,ENT-REF-175128,1,0.0349
ENT-000146,MERCHANT,Uttar Pradesh,ENT-REF-367037,16,0.1345
ENT-000147,BENEFICIARY,Maharashtra,ENT-REF-124591,28,0.2331
ENT-000148,ACCOUNT,West Bengal,ENT-REF-175381,51,0.3441
ENT-000149,BENEFICIARY,Karnataka,ENT-REF-193098,27,0.0373
ENT-000150,PHONE,Telangana,ENT-REF-410171,61,0.1468
ENT-000151,MERCHANT,Madhya Pradesh,ENT-REF-403341,20,0.1296
ENT-000152,DEVICE,Telangana,ENT-REF-409063,43,0.12
ENT-000153,ACCOUNT,Maharashtra,ENT-REF-922284,4,0.3065
ENT-000154,PHONE,West Bengal,ENT-REF-138590,67,0.1016
ENT-000155,ACCOUNT,Rajasthan,ENT-REF-736027,19,0.1864
ENT-000156,BENEFICIARY,Bihar,ENT-REF-949051,23,0.2318
ENT-000157,ACCOUNT,Rajasthan,ENT-REF-218216,59,0.1047
ENT-000158,BENEFICIARY,West Bengal,ENT-REF-958146,6,0.02
ENT-000159,PHONE,West Bengal,ENT-REF-815591,16,0.1645
ENT-000160,DEVICE,Delhi,ENT-REF-291155,43,0.1706
ENT-000161,ACCOUNT,Madhya Pradesh,ENT-REF-863136,43,0.1083
ENT-000162,BENEFICIARY,West Bengal,ENT-REF-648401,24,0.2107
ENT-000163,ACCOUNT,Karnataka,ENT-REF-307836,25,0.0509
ENT-000164,WALLET,Maharashtra,ENT-REF-349908,28,0.1591
ENT-000165,DEVICE,Madhya Pradesh,ENT-REF-707964,5,0.2289
ENT-000166,ACCOUNT,Bihar,ENT-REF-823001,19,0.1661
ENT-000167,ACCOUNT,Madhya Pradesh,ENT-REF-291170,7,0.0678
ENT-000168,ACCOUNT,Bihar,ENT-REF-551743,36,0.0912
ENT-000169,BENEFICIARY,Uttar Pradesh,ENT-REF-462604,75,0.1975
ENT-000170,DEVICE,Delhi,ENT-REF-149733,35,0.0631
ENT-000171,PHONE,Madhya Pradesh,ENT-REF-974260,19,0.0708
ENT-000172,MERCHANT,Uttar Pradesh,ENT-REF-506055,59,0.4841
ENT-000173,PHONE,Maharashtra,ENT-REF-429797,9,0.0569
ENT-000174,BENEFICIARY,Delhi,ENT-REF-318560,21,0.1313
ENT-000175,DEVICE,Bihar,ENT-REF-505200,12,0.0701
ENT-000176,ACCOUNT,Telangana,ENT-REF-606100,50,0.3024
ENT-000177,ACCOUNT,Telangana,ENT-REF-797140,51,0.0715
ENT-000178,PHONE,Uttar Pradesh,ENT-REF-484691,22,0.0753
ENT-000179,WALLET,Maharashtra,ENT-REF-615941,3,0.0932
ENT-000180,PHONE,West Bengal,ENT-REF-259844,39,0.1196
ENT-000181,PHONE,Rajasthan,ENT-REF-270528,41,0.0152
ENT-000182,MERCHANT,Karnataka,ENT-REF-767932,43,0.2006
ENT-000183,ACCOUNT,Karnataka,ENT-REF-765621,33,0.0239
ENT-000184,DEVICE,Uttar Pradesh,ENT-REF-535852,13,0.1113
ENT-000185,ACCOUNT,Madhya Pradesh,ENT-REF-594961,41,0.0175
ENT-000186,ACCOUNT,Karnataka,ENT-REF-532766,6,0.2132
ENT-000187,PHONE,Tamil Nadu,ENT-REF-554750,46,0.0257
ENT-000188,ACCOUNT,Maharashtra,ENT-REF-417947,14,0.2289
ENT-000189,WALLET,Uttar Pradesh,ENT-REF-248247,7,0.3176
ENT-000190,WALLET,Maharashtra,ENT-REF-636545,8,0.0425
ENT-000191,PHONE,Karnataka,ENT-REF-272341,14,0.3471
ENT-000192,ACCOUNT,Maharashtra,ENT-REF-189690,77,0.1958
ENT-000193,DEVICE,Rajasthan,ENT-REF-748316,56,0.2597
ENT-000194,PHONE,Tamil Nadu,ENT-REF-214575,20,0.3173
ENT-000195,WALLET,Madhya Pradesh,ENT-REF-977248,64,0.1737
ENT-000196,ACCOUNT,Bihar,ENT-REF-943348,5,0.2665
ENT-000197,ACCOUNT,Karnataka,ENT-REF-107693,26,0.2303
ENT-000198,ACCOUNT,Tamil Nadu,ENT-REF-229818,12,0.0986
ENT-000199,ACCOUNT,Telangana,ENT-REF-169750,53,0.0923
ENT-000200,ACCOUNT,Tamil Nadu,ENT-REF-915747,9,0.0438
ENT-000201,DEVICE,West Bengal,ENT-REF-175833,35,0.0298
ENT-000202,DEVICE,Rajasthan,ENT-REF-495104,3,0.3774
ENT-000203,BENEFICIARY,Delhi,ENT-REF-875111,33,0.0284
ENT-000204,BENEFICIARY,Delhi,ENT-REF-595777,48,0.2979
ENT-000205,DEVICE,Maharashtra,ENT-REF-744883,51,0.0593
ENT-000206,BENEFICIARY,Delhi,ENT-REF-686070,30,0.2736
ENT-000207,ACCOUNT,Maharashtra,ENT-REF-228212,30,0.0732
ENT-000208,ACCOUNT,West Bengal,ENT-REF-833746,73,0.0644
ENT-000209,MERCHANT,Uttar Pradesh,ENT-REF-470672,46,0.3709
ENT-000210,MERCHANT,West Bengal,ENT-REF-579759,19,0.143
ENT-000211,PHONE,Karnataka,ENT-REF-233851,76,0.3143
ENT-000212,PHONE,West Bengal,ENT-REF-228414,54,0.1288
ENT-000213,BENEFICIARY,West Bengal,ENT-REF-318204,36,0.0344
ENT-000214,ACCOUNT,Uttar Pradesh,ENT-REF-307283,67,0.0658
ENT-000215,DEVICE,Tamil Nadu,ENT-REF-153327,71,0.1032
ENT-000216,BENEFICIARY,Bihar,ENT-REF-267679,60,0.0677
ENT-000217,ACCOUNT,Karnataka,ENT-REF-245624,51,0.1269
ENT-000218,PHONE,Uttar Pradesh,ENT-REF-174511,41,0.1868
ENT-000219,PHONE,Madhya Pradesh,ENT-REF-728755,39,0.0307
ENT-000220,BENEFICIARY,Maharashtra,ENT-REF-423044,60,0.1973
ENT-000221,PHONE,Delhi,ENT-REF-663147,46,0.0439
ENT-000222,PHONE,Bihar,ENT-REF-597408,32,0.1525
ENT-000223,DEVICE,Uttar Pradesh,ENT-REF-273766,8,0.0931
ENT-000224,DEVICE,Maharashtra,ENT-REF-565008,26,0.1736
ENT-000225,PHONE,Telangana,ENT-REF-569031,37,0.1214
ENT-000226,ACCOUNT,Madhya Pradesh,ENT-REF-266304,63,0.3121
ENT-000227,ACCOUNT,Bihar,ENT-REF-543483,16,0.0633
ENT-000228,ACCOUNT,Maharashtra,ENT-REF-100722,51,0.151
ENT-000229,ACCOUNT,Maharashtra,ENT-REF-175511,48,0.2372
ENT-000230,PHONE,Madhya Pradesh,ENT-REF-987796,17,0.0817
ENT-000231,BENEFICIARY,Rajasthan,ENT-REF-196902,7,0.2249
ENT-000232,ACCOUNT,Karnataka,ENT-REF-457282,8,0.2748
ENT-000233,DEVICE,Delhi,ENT-REF-273593,18,0.0765
ENT-000234,ACCOUNT,West Bengal,ENT-REF-961941,17,0.2527
ENT-000235,MERCHANT,West Bengal,ENT-REF-475811,15,0.1373
ENT-000236,PHONE,Delhi,ENT-REF-192860,34,0.197
ENT-000237,ACCOUNT,Karnataka,ENT-REF-285362,39,0.1287
ENT-000238,PHONE,Telangana,ENT-REF-643328,42,0.3573
ENT-000239,ACCOUNT,Rajasthan,ENT-REF-652894,73,0.0067
ENT-000240,WALLET,Tamil Nadu,ENT-REF-407670,6,0.3455
ENT-000241,BENEFICIARY,Telangana,ENT-REF-537768,19,0.1943
ENT-000242,DEVICE,Madhya Pradesh,ENT-REF-382047,67,0.0226
ENT-000243,ACCOUNT,Madhya Pradesh,ENT-REF-624848,15,0.074
ENT-000244,ACCOUNT,Bihar,ENT-REF-121541,52,0.1929
ENT-000245,ACCOUNT,Karnataka,ENT-REF-638431,41,0.0455
ENT-000246,ACCOUNT,Uttar Pradesh,ENT-REF-628762,17,0.0314
ENT-000247,ACCOUNT,Uttar Pradesh,ENT-REF-284090,72,0.0301
ENT-000248,ACCOUNT,Maharashtra,ENT-REF-197277,41,0.1633
ENT-000249,ACCOUNT,West Bengal,ENT-REF-163845,36,0.2645
ENT-000250,ACCOUNT,West Bengal,ENT-REF-540098,76,0.2404
ENT-000251,DEVICE,Maharashtra,ENT-REF-528420,26,0.1038
ENT-000252,ACCOUNT,Bihar,ENT-REF-331609,11,0.1687
ENT-000253,DEVICE,Tamil Nadu,ENT-REF-454579,44,0.2125
ENT-000254,BENEFICIARY,Madhya Pradesh,ENT-REF-207300,49,0.2096
ENT-000255,DEVICE,Karnataka,ENT-REF-306957,36,0.383
ENT-000256,DEVICE,West Bengal,ENT-REF-905190,11,0.0364
ENT-000257,BENEFICIARY,Bihar,ENT-REF-618847,17,0.1412
ENT-000258,WALLET,Tamil Nadu,ENT-REF-915790,35,0.0829
ENT-000259,DEVICE,Madhya Pradesh,ENT-REF-864176,47,0.0276
ENT-000260,ACCOUNT,Madhya Pradesh,ENT-REF-813775,7,0.0733
ENT-000261,ACCOUNT,Tamil Nadu,ENT-REF-814051,74,0.1364
ENT-000262,BENEFICIARY,Maharashtra,ENT-REF-550734,49,0.1529
ENT-000263,PHONE,Karnataka,ENT-REF-155400,47,0.0114
ENT-000264,PHONE,West Bengal,ENT-REF-138135,16,0.3749
ENT-000265,WALLET,West Bengal,ENT-REF-590274,4,0.5548
ENT-000266,MERCHANT,Delhi,ENT-REF-889760,26,0.0695
ENT-000267,ACCOUNT,Karnataka,ENT-REF-753826,13,0.0905
ENT-000268,MERCHANT,Telangana,ENT-REF-577984,35,0.0309
ENT-000269,ACCOUNT,Rajasthan,ENT-REF-281652,19,0.1851
ENT-000270,PHONE,Madhya Pradesh,ENT-REF-113701,65,0.1097
ENT-000271,ACCOUNT,Maharashtra,ENT-REF-988743,47,0.2708
ENT-000272,ACCOUNT,Bihar,ENT-REF-153872,37,0.0867
ENT-000273,ACCOUNT,Bihar,ENT-REF-391349,15,0.1615
ENT-000274,PHONE,Karnataka,ENT-REF-396469,46,0.122
ENT-000275,PHONE,Delhi,ENT-REF-933911,56,0.0204
ENT-000276,DEVICE,Rajasthan,ENT-REF-357600,34,0.2758
ENT-000277,BENEFICIARY,Madhya Pradesh,ENT-REF-494477,58,0.0487
ENT-000278,BENEFICIARY,Tamil Nadu,ENT-REF-740510,55,0.2586
ENT-000279,ACCOUNT,Rajasthan,ENT-REF-372855,9,0.0727
ENT-000280,BENEFICIARY,Maharashtra,ENT-REF-263427,1,0.0626
ENT-000281,MERCHANT,Karnataka,ENT-REF-138742,2,0.4156
ENT-000282,MERCHANT,Karnataka,ENT-REF-812357,5,0.457
ENT-000283,PHONE,West Bengal,ENT-REF-171230,6,0.2604
ENT-000284,WALLET,Bihar,ENT-REF-265967,3,0.1515
ENT-000285,DEVICE,Uttar Pradesh,ENT-REF-947436,55,0.2554
ENT-000286,PHONE,Madhya Pradesh,ENT-REF-174955,77,0.1566
ENT-000287,PHONE,Madhya Pradesh,ENT-REF-700641,51,0.1228
ENT-000288,ACCOUNT,Delhi,ENT-REF-878521,12,0.0352
ENT-000289,ACCOUNT,Uttar Pradesh,ENT-REF-978980,29,0.1064
ENT-000290,DEVICE,Madhya Pradesh,ENT-REF-225119,31,0.2932
ENT-000291,WALLET,Uttar Pradesh,ENT-REF-579132,25,0.1795
ENT-000292,MERCHANT,Maharashtra,ENT-REF-817890,40,0.2238
ENT-000293,ACCOUNT,Uttar Pradesh,ENT-REF-590427,12,0.2053
ENT-000294,WALLET,Telangana,ENT-REF-774289,63,0.2461
ENT-000295,PHONE,Telangana,ENT-REF-389410,76,0.4185
ENT-000296,ACCOUNT,Tamil Nadu,ENT-REF-937102,7,0.084
ENT-000297,ACCOUNT,Telangana,ENT-REF-232034,78,0.2354
ENT-000298,ACCOUNT,Bihar,ENT-REF-121504,51,0.0679
ENT-000299,MERCHANT,Tamil Nadu,ENT-REF-531252,30,0.2459
ENT-000300,ACCOUNT,Telangana,ENT-REF-705205,51,0.1985
ENT-000301,ACCOUNT,Madhya Pradesh,ENT-REF-669690,43,0.1798
ENT-000302,ACCOUNT,Maharashtra,ENT-REF-287102,18,0.2661
ENT-000303,ACCOUNT,Tamil Nadu,ENT-REF-123056,58,0.3507
ENT-000304,ACCOUNT,Delhi,ENT-REF-985245,60,0.0322
ENT-000305,ACCOUNT,Uttar Pradesh,ENT-REF-879407,18,0.1962
ENT-000306,PHONE,Rajasthan,ENT-REF-356520,16,0.0649
ENT-000307,WALLET,Maharashtra,ENT-REF-522480,57,0.1934
ENT-000308,PHONE,Bihar,ENT-REF-277742,79,0.1527
ENT-000309,DEVICE,Telangana,ENT-REF-537821,35,0.1446
ENT-000310,MERCHANT,Tamil Nadu,ENT-REF-566788,28,0.1758
ENT-000311,BENEFICIARY,Karnataka,ENT-REF-977968,37,0.4498
ENT-000312,WALLET,Delhi,ENT-REF-226987,16,0.1436
ENT-000313,BENEFICIARY,Bihar,ENT-REF-913114,1,0.285
ENT-000314,DEVICE,Rajasthan,ENT-REF-996625,67,0.0948
ENT-000315,MERCHANT,Rajasthan,ENT-REF-693261,27,0.1213
ENT-000316,WALLET,Karnataka,ENT-REF-623874,49,0.3838
ENT-000317,MERCHANT,Delhi,ENT-REF-893393,57,0.1145
ENT-000318,ACCOUNT,Delhi,ENT-REF-396961,27,0.0466
ENT-000319,ACCOUNT,West Bengal,ENT-REF-256778,36,0.1115
ENT-000320,ACCOUNT,Telangana,ENT-REF-204506,18,0.1637
ENT-000321,DEVICE,Maharashtra,ENT-REF-893248,56,0.2869
ENT-000322,WALLET,Madhya Pradesh,ENT-REF-598061,33,0.041
ENT-000323,WALLET,Delhi,ENT-REF-302831,39,0.1473
ENT-000324,PHONE,Tamil Nadu,ENT-REF-657509,5,0.0094
ENT-000325,PHONE,Delhi,ENT-REF-520061,12,0.1501
ENT-000326,BENEFICIARY,Bihar,ENT-REF-598137,34,0.064
ENT-000327,MERCHANT,Delhi,ENT-REF-587957,56,0.167
ENT-000328,WALLET,Uttar Pradesh,ENT-REF-183418,35,0.4101
ENT-000329,ACCOUNT,Uttar Pradesh,ENT-REF-925564,66,0.1457
ENT-000330,ACCOUNT,West Bengal,ENT-REF-634503,1,0.2504
ENT-000331,ACCOUNT,Rajasthan,ENT-REF-210652,4,0.0347
ENT-000332,BENEFICIARY,Maharashtra,ENT-REF-424025,70,0.2723
ENT-000333,BENEFICIARY,Uttar Pradesh,ENT-REF-584649,26,0.3577
ENT-000334,WALLET,Uttar Pradesh,ENT-REF-109026,38,0.0958
ENT-000335,DEVICE,Delhi,ENT-REF-505697,3,0.3637
ENT-000336,ACCOUNT,Uttar Pradesh,ENT-REF-876851,6,0.1193
ENT-000337,WALLET,Karnataka,ENT-REF-818211,19,0.3145
ENT-000338,DEVICE,Telangana,ENT-REF-258321,17,0.0555
ENT-000339,MERCHANT,Uttar Pradesh,ENT-REF-428986,70,0.1857
ENT-000340,DEVICE,Bihar,ENT-REF-685988,49,0.315
ENT-000341,WALLET,Delhi,ENT-REF-218765,21,0.0847
ENT-000342,PHONE,Delhi,ENT-REF-385759,31,0.1818
ENT-000343,DEVICE,Telangana,ENT-REF-375660,71,0.1245
ENT-000344,PHONE,West Bengal,ENT-REF-305382,36,0.4281
ENT-000345,BENEFICIARY,West Bengal,ENT-REF-210276,24,0.2882
ENT-000346,PHONE,Rajasthan,ENT-REF-417573,22,0.1502
ENT-000347,ACCOUNT,Uttar Pradesh,ENT-REF-209107,42,0.0901
ENT-000348,PHONE,Madhya Pradesh,ENT-REF-608286,16,0.2064
ENT-000349,WALLET,Telangana,ENT-REF-784935,66,0.3249
ENT-000350,PHONE,Madhya Pradesh,ENT-REF-742675,47,0.0957
ENT-000351,ACCOUNT,West Bengal,ENT-REF-256129,79,0.0712
ENT-000352,BENEFICIARY,Maharashtra,ENT-REF-437856,7,0.2661
ENT-000353,ACCOUNT,Telangana,ENT-REF-452726,61,0.3876
ENT-000354,PHONE,Uttar Pradesh,ENT-REF-137345,13,0.0678
ENT-000355,MERCHANT,West Bengal,ENT-REF-324100,35,0.0853
ENT-000356,ACCOUNT,Rajasthan,ENT-REF-685609,70,0.2368
ENT-000357,PHONE,West Bengal,ENT-REF-487077,8,0.1522
ENT-000358,DEVICE,Tamil Nadu,ENT-REF-210081,4,0.0793
ENT-000359,BENEFICIARY,Rajasthan,ENT-REF-384282,11,0.1112
ENT-000360,ACCOUNT,West Bengal,ENT-REF-534236,71,0.4783
ENT-000361,ACCOUNT,West Bengal,ENT-REF-844057,44,0.2167
ENT-000362,ACCOUNT,Rajasthan,ENT-REF-792504,37,0.0503
ENT-000363,DEVICE,Tamil Nadu,ENT-REF-475448,1,0.0243
ENT-000364,PHONE,Uttar Pradesh,ENT-REF-711305,39,0.3703
ENT-000365,MERCHANT,Tamil Nadu,ENT-REF-215055,54,0.0554
ENT-000366,ACCOUNT,Maharashtra,ENT-REF-194214,65,0.2676
