group_id,complaint_a,complaint_b,shared_entities,shared_endpoints,window_hours,decision,proposal_source
GRP-00060,CMP-002243,CMP-002432,19,2,3,ACCEPTED,AUTO_SUGGESTED
GRP-00061,CMP-005642,CMP-001544,15,1,4,ACCEPTED,HUMAN_REVIEW
GRP-00062,CMP-002333,CMP-001392,13,2,12,ACCEPTED,AUTO_SUGGESTED
GRP-00063,CMP-002191,CMP-003369,9,3,4,PROPOSED,AUTO_SUGGESTED
GRP-00064,CMP-002305,CMP-001002,16,1,20,SPLIT,HUMAN_REVIEW
GRP-00065,CMP-009714,CMP-000515,7,4,5,ACCEPTED,HUMAN_REVIEW
GRP-00066,CMP-006593,CMP-007262,4,3,20,SPLIT,HUMAN_REVIEW
GRP-00067,CMP-007276,CMP-003460,18,4,19,ACCEPTED,HUMAN_REVIEW
GRP-00068,CMP-004204,CMP-001808,6,4,2,ACCEPTED,HUMAN_REVIEW
GRP-00069,CMP-007057,CMP-005440,8,3,1,REJECTED,AUTO_SUGGESTED
GRP-00070,CMP-004822,CMP-004990,19,3,6,PROPOSED,AUTO_SUGGESTED
GRP-00071,CMP-007104,CMP-008663,9,3,11,ACCEPTED,AUTO_SUGGESTED
GRP-00072,CMP-009491,CMP-005758,15,1,3,ACCEPTED,HUMAN_REVIEW
GRP-00073,CMP-003506,CMP-009958,2,3,23,PROPOSED,HUMAN_REVIEW
GRP-00074,CMP-006641,CMP-008074,16,3,7,PROPOSED,AUTO_SUGGESTED
GRP-00075,CMP-006054,CMP-000299,2,3,15,ACCEPTED,HUMAN_REVIEW
GRP-00076,CMP-002410,CMP-001244,10,1,23,PROPOSED,HUMAN_REVIEW
GRP-00077,CMP-002339,CMP-003096,9,1,18,ACCEPTED,HUMAN_REVIEW
GRP-00078,CMP-001339,CMP-005434,17,4,20,ACCEPTED,HUMAN_REVIEW
GRP-00079,CMP-002335,CMP-000106,4,1,18,SPLIT,HUMAN_REVIEW
GRP-00080,CMP-008816,CMP-007341,11,3,8,PROPOSED,HUMAN_REVIEW
GRP-00081,CMP-007624,CMP-000506,12,4,17,SPLIT,HUMAN_REVIEW
GRP-00082,CMP-002650,CMP-009348,16,3,23,PROPOSED,AUTO_SUGGESTED
GRP-00083,CMP-004212,CMP-007865,4,4,10,PROPOSED,AUTO_SUGGESTED
GRP-00084,CMP-000022,CMP-004283,16,3,16,ACCEPTED,AUTO_SUGGESTED
GRP-00085,CMP-003517,CMP-009859,6,3,18,SPLIT,AUTO_SUGGESTED
GRP-00086,CMP-005453,CMP-001459,2,4,6,PROPOSED,HUMAN_REVIEW
GRP-00087,CMP-000410,CMP-002590,17,1,13,PROPOSED,HUMAN_REVIEW
GRP-00088,CMP-007487,CMP-004702,12,3,20,SPLIT,AUTO_SUGGESTED
GRP-00089,CMP-004472,CMP-009936,13,1,17,ACCEPTED,AUTO_SUGGESTED
GRP-00090,CMP-008955,CMP-008167,17,2,3,SPLIT,HUMAN_REVIEW
GRP-00091,CMP-003467,CMP-008658,19,4,21,REJECTED,AUTO_SUGGESTED
GRP-00092,CMP-006222,CMP-003663,18,2,9,PROPOSED,AUTO_SUGGESTED
GRP-00093,CMP-005834,CMP-006713,3,4,23,ACCEPTED,HUMAN_REVIEW
GRP-00094,CMP-001809,CMP-002719,3,1,6,ACCEPTED,AUTO_SUGGESTED
GRP-00095,CMP-001808,CMP-000677,19,4,11,REJECTED,HUMAN_REVIEW
GRP-00096,CMP-000244,CMP-004341,19,2,20,PROPOSED,AUTO_SUGGESTED
GRP-00097,CMP-004735,CMP-006661,6,4,8,ACCEPTED,AUTO_SUGGESTED
GRP-00098,CMP-004990,CMP-003118,18,3,6,ACCEPTED,HUMAN_REVIEW
GRP-00099,CMP-000716,CMP-008213,3,1,16,ACCEPTED,AUTO_SUGGESTED
GRP-00100,CMP-009634,CMP-003556,18,4,19,ACCEPTED,AUTO_SUGGESTED
GRP-00101,CMP-007859,CMP-008041,12,3,2,REJECTED,HUMAN_REVIEW
GRP-00102,CMP-009657,CMP-003108,11,1,16,ACCEPTED,HUMAN_REVIEW
GRP-00103,CMP-007641,CMP-005166,10,3,21,ACCEPTED,AUTO_SUGGESTED
GRP-00104,CMP-004565,CMP-003639,10,3,9,PROPOSED,AUTO_SUGGESTED
GRP-00105,CMP-001751,CMP-007403,13,1,23,REJECTED,HUMAN_REVIEW
GRP-00106,CMP-000057,CMP-007177,3,1,20,PROPOSED,AUTO_SUGGESTED
GRP-00107,CMP-002270,CMP-003048,2,2,18,REJECTED,HUMAN_REVIEW
GRP-00108,CMP-007825,CMP-009389,3,3,14,REJECTED,AUTO_SUGGESTED
GRP-00109,CMP-000243,CMP-007076,9,4,17,ACCEPTED,HUMAN_REVIEW
GRP-00110,CMP-005070,CMP-009662,11,4,12,ACCEPTED,HUMAN_REVIEW
GRP-00111,CMP-000449,CMP-008889,7,4,5,SPLIT,AUTO_SUGGESTED
GRP-00112,CMP-003025,CMP-009683,8,1,5,REJECTED,HUMAN_REVIEW
GRP-00113,CMP-009150,CMP-001347,8,3,22,REJECTED,HUMAN_REVIEW
GRP-00114,CMP-001921,CMP-005592,4,2,12,PROPOSED,HUMAN_REVIEW
GRP-00115,CMP-007985,CMP-002447,7,1,7,ACCEPTED,HUMAN_REVIEW
GRP-00116,CMP-007344,CMP-009534,17,2,21,PROPOSED,AUTO_SUGGESTED
GRP-00117,CMP-001948,CMP-005524,9,3,9,REJECTED,HUMAN_REVIEW
GRP-00118,CMP-005136,CMP-009633,10,1,23,PROPOSED,HUMAN_REVIEW
GRP-00119,CMP-001254,CMP-008216,8,4,4,ACCEPTED,HUMAN_REVIEW
GRP-00120,CMP-007387,CMP-001024,19,3,12,SPLIT,AUTO_SUGGESTED
GRP-00121,CMP-000227,CMP-008870,5,2,5,PROPOSED,AUTO_SUGGESTED
GRP-00122,CMP-003298,CMP-009098,12,1,16,ACCEPTED,AUTO_SUGGESTED
GRP-00123,CMP-002566,CMP-007886,13,4,4,SPLIT,HUMAN_REVIEW
GRP-00124,CMP-009675,CMP-007299,14,1,23,REJECTED,AUTO_SUGGESTED
GRP-00125,CMP-008038,CMP-005985,5,4,17,SPLIT,HUMAN_REVIEW
GRP-00126,CMP-001756,CMP-008655,19,1,16,PROPOSED,AUTO_SUGGESTED
GRP-00127,CMP-003031,CMP-002603,4,2,4,REJECTED,AUTO_SUGGESTED
GRP-00128,CMP-008301,CMP-003008,6,4,4,SPLIT,HUMAN_REVIEW
GRP-00129,CMP-002166,CMP-009867,7,3,23,SPLIT,HUMAN_REVIEW
GRP-00130,CMP-000075,CMP-005315,9,2,15,ACCEPTED,AUTO_SUGGESTED
GRP-00131,CMP-006756,CMP-001052,4,3,3,SPLIT,AUTO_SUGGESTED
GRP-00132,CMP-009417,CMP-003444,10,3,1,REJECTED,HUMAN_REVIEW
GRP-00133,CMP-005013,CMP-003038,10,2,12,PROPOSED,AUTO_SUGGESTED
GRP-00134,CMP-001870,CMP-007330,6,2,18,SPLIT,AUTO_SUGGESTED
GRP-00135,CMP-009482,CMP-003439,6,3,11,PROPOSED,HUMAN_REVIEW
GRP-00136,CMP-001748,CMP-002462,17,2,19,REJECTED,HUMAN_REVIEW
GRP-00137,CMP-009044,CMP-002769,17,2,23,REJECTED,HUMAN_REVIEW
GRP-00138,CMP-000246,CMP-004664,9,1,5,SPLIT,AUTO_SUGGESTED
GRP-00139,CMP-005530,CMP-006406,11,4,23,SPLIT,HUMAN_REVIEW
GRP-00140,CMP-004688,CMP-003366,12,2,10,ACCEPTED,HUMAN_REVIEW
GRP-00141,CMP-002792,CMP-009088,8,1,22,ACCEPTED,AUTO_SUGGESTED
GRP-00142,CMP-000925,CMP-001438,13,1,3,ACCEPTED,HUMAN_REVIEW
GRP-00143,CMP-003603,CMP-008344,16,3,18,REJECTED,HUMAN_REVIEW
GRP-00144,CMP-004992,CMP-001186,18,3,23,PROPOSED,AUTO_SUGGESTED
GRP-00145,CMP-001553,CMP-008213,14,2,2,PROPOSED,HUMAN_REVIEW
GRP-00146,CMP-005254,CMP-000471,19,1,8,REJECTED,HUMAN_REVIEW
GRP-00147,CMP-002968,CMP-000458,15,3,17,SPLIT,AUTO_SUGGESTED
GRP-00148,CMP-005035,CMP-000031,4,1,16,ACCEPTED,AUTO_SUGGESTED
GRP-00149,CMP-003352,CMP-006136,8,2,23,SPLIT,HUMAN_REVIEW
GRP-00150,CMP-002997,CMP-001535,11,2,4,PROPOSED,AUTO_SUGGESTED
GRP-00151,CMP-005379,CMP-008879,17,1,15,ACCEPTED,AUTO_SUGGESTED
GRP-00152,CMP-000617,CMP-005932,3,4,9,SPLIT,AUTO_SUGGESTED
GRP-00153,CMP-001188,CMP-004634,16,3,11,PROPOSED,AUTO_SUGGESTED
GRP-00154,CMP-004834,CMP-008366,4,3,13,REJECTED,HUMAN_REVIEW
GRP-00155,CMP-000931,CMP-009986,8,1,16,PROPOSED,HUMAN_REVIEW
GRP-00156,CMP-008012,CMP-007097,17,4,3,ACCEPTED,AUTO_SUGGESTED
GRP-00157,CMP-001526,CMP-007073,18,4,8,SPLIT,AUTO_SUGGESTED
GRP-00158,CMP-006865,CMP-002089,2,2,10,REJECTED,HUMAN_REVIEW
GRP-00159,CMP-006313,CMP-008051,5,2,5,SPLIT,AUTO_SUGGESTED
GRP-00160,CMP-008712,CMP-000172,16,2,15,REJECTED,HUMAN_REVIEW
GRP-00161,CMP-003649,CMP-002317,4,3,5,SPLIT,AUTO_SUGGESTED
GRP-00162,CMP-007373,CMP-002380,11,1,15,REJECTED,HUMAN_REVIEW
GRP-00163,CMP-005972,CMP-007119,12,1,8,SPLIT,AUTO_SUGGESTED
GRP-00164,CMP-004880,CMP-008032,17,4,7,REJECTED,AUTO_SUGGESTED
GRP-00165,CMP-000648,CMP-007952,6,3,14,SPLIT,AUTO_SUGGESTED
GRP-00166,CMP-005022,CMP-000344,16,1,21,REJECTED,HUMAN_REVIEW
GRP-00167,CMP-008662,CMP-007055,9,2,1,SPLIT,AUTO_SUGGESTED
GRP-00168,CMP-003769,CMP-000967,2,4,5,SPLIT,AUTO_SUGGESTED
GRP-00169,CMP-003596,CMP-005178,15,4,14,PROPOSED,HUMAN_REVIEW
GRP-00170,CMP-006180,CMP-007031,19,3,10,ACCEPTED,HUMAN_REVIEW
GRP-00171,CMP-002510,CMP-009238,17,1,5,SPLIT,HUMAN_REVIEW
GRP-00172,CMP-003022,CMP-002893,3,1,18,REJECTED,HUMAN_REVIEW
GRP-00173,CMP-006428,CMP-007034,8,3,2,SPLIT,AUTO_SUGGESTED
GRP-00174,CMP-001479,CMP-001128,4,2,4,REJECTED,HUMAN_REVIEW
GRP-00175,CMP-006694,CMP-003198,11,2,17,ACCEPTED,AUTO_SUGGESTED
GRP-00176,CMP-008709,CMP-006243,6,4,20,PROPOSED,HUMAN_REVIEW
GRP-00177,CMP-006986,CMP-009977,14,2,11,ACCEPTED,AUTO_SUGGESTED
GRP-00178,CMP-002856,CMP-004962,16,3,7,SPLIT,AUTO_SUGGESTED
GRP-00179,CMP-003834,CMP-003628,15,1,20,SPLIT,HUMAN_REVIEW
GRP-00180,CMP-004552,CMP-001809,15,4,10,REJECTED,AUTO_SUGGESTED
GRP-00181,CMP-008523,CMP-007079,9,3,17,REJECTED,HUMAN_REVIEW
GRP-00182,CMP-003303,CMP-002728,16,1,16,SPLIT,AUTO_SUGGESTED
GRP-00183,CMP-003397,CMP-008539,6,3,17,PROPOSED,HUMAN_REVIEW
GRP-00184,CMP-002628,CMP-004009,17,1,23,ACCEPTED,HUMAN_REVIEW
GRP-00185,CMP-008891,CMP-001939,16,1,6,PROPOSED,HUMAN_REVIEW
GRP-00186,CMP-004991,CMP-002968,2,3,1,PROPOSED,AUTO_SUGGESTED
GRP-00187,CMP-000608,CMP-004578,5,4,18,SPLIT,HUMAN_REVIEW
GRP-00188,CMP-009543,CMP-003160,14,2,16,PROPOSED,AUTO_SUGGESTED
GRP-00189,CMP-007575,CMP-002871,19,3,8,SPLIT,AUTO_SUGGESTED
GRP-00190,CMP-008028,CMP-000980,12,1,22,REJECTED,AUTO_SUGGESTED
GRP-00191,CMP-006363,CMP-005385,18,2,19,ACCEPTED,AUTO_SUGGESTED
GRP-00192,CMP-003672,CMP-004996,12,4,22,PROPOSED,AUTO_SUGGESTED
GRP-00193,CMP-009833,CMP-003024,12,2,4,REJECTED,AUTO_SUGGESTED
GRP-00194,CMP-006754,CMP-002677,17,2,6,PROPOSED,HUMAN_REVIEW
GRP-00195,CMP-001431,CMP-009538,7,1,17,PROPOSED,HUMAN_REVIEW
GRP-00196,CMP-003341,CMP-001936,15,1,19,SPLIT,HUMAN_REVIEW
GRP-00197,CMP-009189,CMP-006276,10,3,8,REJECTED,HUMAN_REVIEW
GRP-00198,CMP-000274,CMP-003587,2,4,12,PROPOSED,HUMAN_REVIEW
GRP-00199,CMP-006251,CMP-007438,12,4,20,SPLIT,HUMAN_REVIEW
GRP-00200,CMP-008224,CMP-004247,9,3,8,ACCEPTED,AUTO_SUGGESTED
GRP-00201,CMP-008135,CMP-001594,3,3,23,REJECTED,AUTO_SUGGESTED
GRP-00202,CMP-009809,CMP-000452,6,1,12,SPLIT,HUMAN_REVIEW
GRP-00203,CMP-008315,CMP-008770,11,2,6,REJECTED,AUTO_SUGGESTED
GRP-00204,CMP-009519,CMP-001266,13,4,2,ACCEPTED,AUTO_SUGGESTED
GRP-00205,CMP-007622,CMP-003629,17,4,18,PROPOSED,HUMAN_REVIEW
GRP-00206,CMP-008036,CMP-001358,16,2,13,PROPOSED,HUMAN_REVIEW
GRP-00207,CMP-007262,CMP-002708,3,2,8,ACCEPTED,HUMAN_REVIEW
GRP-00208,CMP-001245,CMP-001019,8,4,17,ACCEPTED,HUMAN_REVIEW
GRP-00209,CMP-007006,CMP-007759,10,2,3,ACCEPTED,AUTO_SUGGESTED
GRP-00210,CMP-004596,CMP-000181,8,3,4,SPLIT,HUMAN_REVIEW
GRP-00211,CMP-006163,CMP-009533,2,2,19,ACCEPTED,AUTO_SUGGESTED
GRP-00212,CMP-003980,CMP-004818,11,2,7,REJECTED,AUTO_SUGGESTED
GRP-00213,CMP-003396,CMP-008380,3,4,4,PROPOSED,AUTO_SUGGESTED
GRP-00214,CMP-002466,CMP-002678,12,2,9,SPLIT,HUMAN_REVIEW
GRP-00215,CMP-000496,CMP-005290,12,1,14,SPLIT,AUTO_SUGGESTED
GRP-00216,CMP-004265,CMP-009816,15,4,11,PROPOSED,AUTO_SUGGESTED
GRP-00217,CMP-000398,CMP-006829,4,1,4,ACCEPTED,AUTO_SUGGESTED
GRP-00218,CMP-007958,CMP-009609,12,3,12,SPLIT,AUTO_SUGGESTED
GRP-00219,CMP-002609,CMP-001572,12,1,22,REJECTED,HUMAN_REVIEW
GRP-00220,CMP-001050,CMP-007113,2,1,3,REJECTED,HUMAN_REVIEW
GRP-00221,CMP-000936,CMP-009913,18,4,17,SPLIT,AUTO_SUGGESTED
GRP-00222,CMP-001440,CMP-008418,19,1,11,SPLIT,AUTO_SUGGESTED
GRP-00223,CMP-002612,CMP-008191,9,1,2,ACCEPTED,AUTO_SUGGESTED
GRP-00224,CMP-007724,CMP-000733,15,1,18,ACCEPTED,AUTO_SUGGESTED
GRP-00225,CMP-007875,CMP-006220,8,2,21,PROPOSED,HUMAN_REVIEW
GRP-00226,CMP-009065,CMP-000985,13,4,7,ACCEPTED,AUTO_SUGGESTED
GRP-00227,CMP-008256,CMP-008410,4,3,4,ACCEPTED,AUTO_SUGGESTED
GRP-00228,CMP-002038,CMP-004317,17,1,6,ACCEPTED,AUTO_SUGGESTED
GRP-00229,CMP-000078,CMP-000002,12,4,6,SPLIT,HUMAN_REVIEW
GRP-00230,CMP-000979,CMP-001980,19,1,15,PROPOSED,AUTO_SUGGESTED
GRP-00231,CMP-007131,CMP-006505,14,3,4,REJECTED,HUMAN_REVIEW
GRP-00232,CMP-004739,CMP-001980,15,1,15,SPLIT,HUMAN_REVIEW
GRP-00233,CMP-007740,CMP-002815,9,2,4,SPLIT,AUTO_SUGGESTED
GRP-00234,CMP-002892,CMP-006076,10,4,23,PROPOSED,HUMAN_REVIEW
GRP-00235,CMP-002666,CMP-007323,19,1,6,ACCEPTED,AUTO_SUGGESTED
GRP-00236,CMP-003086,CMP-000191,11,3,2,PROPOSED,HUMAN_REVIEW
GRP-00237,CMP-005664,CMP-008387,14,4,11,PROPOSED,AUTO_SUGGESTED
GRP-00238,CMP-001321,CMP-009988,13,4,13,PROPOSED,AUTO_SUGGESTED
GRP-00239,CMP-008234,CMP-001296,19,1,18,PROPOSED,HUMAN_REVIEW
GRP-00240,CMP-001183,CMP-003581,4,4,23,PROPOSED,HUMAN_REVIEW
GRP-00241,CMP-000886,CMP-009008,17,2,6,PROPOSED,HUMAN_REVIEW
GRP-00242,CMP-008132,CMP-003965,6,3,16,PROPOSED,HUMAN_REVIEW
GRP-00243,CMP-009022,CMP-004158,5,3,20,PROPOSED,HUMAN_REVIEW
GRP-00244,CMP-002479,CMP-001505,17,2,14,REJECTED,HUMAN_REVIEW
GRP-00245,CMP-008445,CMP-008674,9,4,1,SPLIT,AUTO_SUGGESTED
GRP-00246,CMP-007254,CMP-005338,10,2,22,REJECTED,AUTO_SUGGESTED
GRP-00247,CMP-003642,CMP-000642,11,2,6,SPLIT,AUTO_SUGGESTED
GRP-00248,CMP-004770,CMP-005571,12,2,21,REJECTED,HUMAN_REVIEW
GRP-00249,CMP-007631,CMP-004908,6,3,19,ACCEPTED,HUMAN_REVIEW
GRP-00250,CMP-009567,CMP-005193,4,4,3,REJECTED,HUMAN_REVIEW
GRP-00251,CMP-003994,CMP-002396,3,3,16,REJECTED,AUTO_SUGGESTED
GRP-00252,CMP-006418,CMP-005838,12,3,13,SPLIT,AUTO_SUGGESTED
GRP-00253,CMP-004081,CMP-005614,17,2,6,PROPOSED,HUMAN_REVIEW
GRP-00254,CMP-002663,CMP-009239,13,2,10,REJECTED,AUTO_SUGGESTED
GRP-00255,CMP-000530,CMP-005673,4,4,19,ACCEPTED,AUTO_SUGGESTED
GRP-00256,CMP-003071,CMP-001919,9,3,16,SPLIT,HUMAN_REVIEW
GRP-00257,CMP-006741,CMP-000730,9,4,23,PROPOSED,AUTO_SUGGESTED
GRP-00258,CMP-000186,CMP-000810,2,3,5,ACCEPTED,HUMAN_REVIEW
GRP-00259,CMP-002828,CMP-009483,5,2,23,ACCEPTED,HUMAN_REVIEW
GRP-00260,CMP-006940,CMP-007552,8,3,22,ACCEPTED,AUTO_SUGGESTED
GRP-00261,CMP-005287,CMP-002207,3,4,19,PROPOSED,HUMAN_REVIEW
GRP-00262,CMP-004278,CMP-000392,19,4,8,PROPOSED,AUTO_SUGGESTED
GRP-00263,CMP-006087,CMP-009452,11,3,21,ACCEPTED,HUMAN_REVIEW
GRP-00264,CMP-008150,CMP-002722,13,4,12,PROPOSED,AUTO_SUGGESTED
GRP-00265,CMP-009860,CMP-000489,18,2,17,SPLIT,AUTO_SUGGESTED
GRP-00266,CMP-009256,CMP-007454,2,3,14,PROPOSED,AUTO_SUGGESTED
GRP-00267,CMP-002608,CMP-009360,9,3,5,REJECTED,AUTO_SUGGESTED
GRP-00268,CMP-001350,CMP-002587,10,4,15,PROPOSED,HUMAN_REVIEW
GRP-00269,CMP-008697,CMP-004932,11,3,23,PROPOSED,HUMAN_REVIEW
GRP-00270,CMP-009076,CMP-004508,7,2,17,ACCEPTED,HUMAN_REVIEW
GRP-00271,CMP-002753,CMP-001812,7,3,20,PROPOSED,HUMAN_REVIEW
GRP-00272,CMP-001256,CMP-008559,3,1,12,SPLIT,HUMAN_REVIEW
GRP-00273,CMP-003712,CMP-001342,5,2,19,PROPOSED,AUTO_SUGGESTED
GRP-00274,CMP-007495,CMP-000708,6,2,14,ACCEPTED,HUMAN_REVIEW
GRP-00275,CMP-009705,CMP-006679,19,4,11,REJECTED,AUTO_SUGGESTED
GRP-00276,CMP-001360,CMP-002859,14,2,1,SPLIT,HUMAN_REVIEW
GRP-00277,CMP-003583,CMP-005793,9,1,17,ACCEPTED,HUMAN_REVIEW
GRP-00278,CMP-004156,CMP-006300,11,4,11,PROPOSED,HUMAN_REVIEW
GRP-00279,CMP-006827,CMP-003123,3,2,17,SPLIT,AUTO_SUGGESTED
GRP-00280,CMP-008661,CMP-009680,5,1,12,ACCEPTED,AUTO_SUGGESTED
GRP-00281,CMP-000969,CMP-000976,18,2,23,SPLIT,HUMAN_REVIEW
GRP-00282,CMP-008024,CMP-001462,8,3,23,PROPOSED,AUTO_SUGGESTED
GRP-00283,CMP-001519,CMP-009423,4,3,11,SPLIT,AUTO_SUGGESTED
GRP-00284,CMP-000040,CMP-000641,11,2,23,SPLIT,HUMAN_REVIEW
GRP-00285,CMP-003565,CMP-004747,4,3,21,SPLIT,HUMAN_REVIEW
GRP-00286,CMP-005009,CMP-006831,19,4,18,REJECTED,HUMAN_REVIEW
GRP-00287,CMP-001942,CMP-002309,3,4,4,REJECTED,HUMAN_REVIEW
GRP-00288,CMP-000982,CMP-005347,2,2,12,SPLIT,AUTO_SUGGESTED
GRP-00289,CMP-007854,CMP-004027,7,2,5,ACCEPTED,HUMAN_REVIEW
GRP-00290,CMP-001956,CMP-001731,8,2,5,SPLIT,HUMAN_REVIEW
GRP-00291,CMP-003623,CMP-000921,18,4,22,SPLIT,HUMAN_REVIEW
GRP-00292,CMP-002194,CMP-003612,4,1,13,REJECTED,AUTO_SUGGESTED
GRP-00293,CMP-006487,CMP-004006,19,1,19,PROPOSED,HUMAN_REVIEW
GRP-00294,CMP-009018,CMP-007951,3,1,16,ACCEPTED,HUMAN_REVIEW
GRP-00295,CMP-005561,CMP-001618,18,1,7,ACCEPTED,AUTO_SUGGESTED
GRP-00296,CMP-001546,CMP-006779,8,2,21,PROPOSED,AUTO_SUGGESTED
GRP-00297,CMP-008626,CMP-007684,6,4,10,REJECTED,HUMAN_REVIEW
GRP-00298,CMP-001891,CMP-003756,8,1,14,ACCEPTED,AUTO_SUGGESTED
GRP-00299,CMP-004944,CMP-000026,7,2,4,PROPOSED,HUMAN_REVIEW
GRP-00300,CMP-009353,CMP-002764,19,4,2,REJECTED,HUMAN_REVIEW
